"iter","env1_muon - global_router/dropped_tokens","env1_muon - global_router/dropped_tokens__MIN","env1_muon - global_router/dropped_tokens__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - global_router/dropped_tokens","env1_lion - global_router/dropped_tokens__MIN","env1_lion - global_router/dropped_tokens__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - global_router/dropped_tokens","env1_adam - global_router/dropped_tokens__MIN","env1_adam - global_router/dropped_tokens__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - global_router/dropped_tokens"," env1_sgd - global_router/dropped_tokens__MIN"," env1_sgd - global_router/dropped_tokens__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - global_router/dropped_tokens","env1_adamw - global_router/dropped_tokens__MIN","env1_adamw - global_router/dropped_tokens__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
"50","7118","7118","7118","1","1","1","3307","3307","3307","1","1","1","7921","7921","7921","1","1","1","1334","1334","1334","1","1","1","7920","7920","7920","2","2","2"
"100","2036","2036","2036","2","2","2","14824","14824","14824","2","2","2","16958","16958","16958","2","2","2","8922","8922","8922","2","2","2","16915","16915","16915","50","50","50"
"150","2658","2658","2658","3","3","3","10795","10795","10795","3","3","3","11312","11312","11312","3","3","3","19767","19767","19767","3","3","3","11347","11347","11347","100","100","100"
"200","1062","1062","1062","4","4","4","21204","21204","21204","4","4","4","7534","7534","7534","4","4","4","16342","16342","16342","4","4","4","7622","7622","7622","150","150","150"
"250","0","0","0","5","5","5","19901","19901","19901","5","5","5","576","576","576","5","5","5","14342","14342","14342","5","5","5","0","0","0","201","201","201"
"300","344","344","344","6","6","6","17869","17869","17869","6","6","6","1847","1847","1847","6","6","6","13571","13571","13571","6","6","6","1200","1200","1200","250","250","250"
"350","0","0","0","7","7","7","17130","17130","17130","7","7","7","507","507","507","7","7","7","13397","13397","13397","7","7","7","3614","3614","3614","300","300","300"
"400","0","0","0","8","8","8","14300","14300","14300","8","8","8","2295","2295","2295","8","8","8","10166","10166","10166","8","8","8","1991","1991","1991","350","350","350"
"450","0","0","0","9","9","9","11288","11288","11288","9","9","9","0","0","0","9","9","9","9267","9267","9267","9","9","9","1788","1788","1788","400","400","400"
"500","0","0","0","10","10","10","7319","7319","7319","10","10","10","2150","2150","2150","10","10","10","8285","8285","8285","10","10","10","1784","1784","1784","451","451","451"
"550","0","0","0","11","11","11","2134","2134","2134","11","11","11","0","0","0","11","11","11","7535","7535","7535","11","11","11","1251","1251","1251","500","500","500"
"600","0","0","0","12","12","12","0","0","0","12","12","12","1472","1472","1472","12","12","12","4666","4666","4666","12","12","12","1648","1648","1648","550","550","550"
