"iter","env1_muon - global_router/kl_divergence_from_uni","env1_muon - global_router/kl_divergence_from_uni__MIN","env1_muon - global_router/kl_divergence_from_uni__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - global_router/kl_divergence_from_uni","env1_lion - global_router/kl_divergence_from_uni__MIN","env1_lion - global_router/kl_divergence_from_uni__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - global_router/kl_divergence_from_uni","env1_adam - global_router/kl_divergence_from_uni__MIN","env1_adam - global_router/kl_divergence_from_uni__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - global_router/kl_divergence_from_uni"," env1_sgd - global_router/kl_divergence_from_uni__MIN"," env1_sgd - global_router/kl_divergence_from_uni__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - global_router/kl_divergence_from_uni","env1_adamw - global_router/kl_divergence_from_uni__MIN","env1_adamw - global_router/kl_divergence_from_uni__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"0","0.015678207855671644","0.015678207855671644","0.015678207855671644","0","0","0","0.015678207855671644","0.015678207855671644","0.015678207855671644","0","0","0","0.01567380828782916","0.01567380828782916","0.01567380828782916","0","0","0","0.01567380828782916","0.01567380828782916","0.01567380828782916","0","0","0","0.01567380828782916","0.01567380828782916","0.01567380828782916","1","1","1"
"50","0.07478836551308632","0.07478836551308632","0.07478836551308632","1","1","1","0.0884919697418809","0.0884919697418809","0.0884919697418809","1","1","1","0.19660940393805504","0.19660940393805504","0.19660940393805504","1","1","1","0.11061872635036707","0.11061872635036707","0.11061872635036707","1","1","1","0.1963917538523674","0.1963917538523674","0.1963917538523674","2","2","2"
"100","0.050630402751266956","0.050630402751266956","0.050630402751266956","2","2","2","0.21904177963733673","0.21904177963733673","0.21904177963733673","2","2","2","0.1729026921093464","0.1729026921093464","0.1729026921093464","2","2","2","0.18403058499097824","0.18403058499097824","0.18403058499097824","2","2","2","0.17273831367492676","0.17273831367492676","0.17273831367492676","50","50","50"
"150","0.04855079296976328","0.04855079296976328","0.04855079296976328","3","3","3","0.234565868973732","0.234565868973732","0.234565868973732","3","3","3","0.10058929957449436","0.10058929957449436","0.10058929957449436","3","3","3","0.17358849197626114","0.17358849197626114","0.17358849197626114","3","3","3","0.10058226436376572","0.10058226436376572","0.10058226436376572","100","100","100"
"200","0.04197629913687706","0.04197629913687706","0.04197629913687706","4","4","4","0.21482253074645996","0.21482253074645996","0.21482253074645996","4","4","4","0.07989577203989029","0.07989577203989029","0.07989577203989029","4","4","4","0.1739942729473114","0.1739942729473114","0.1739942729473114","4","4","4","0.08004541788250208","0.08004541788250208","0.08004541788250208","150","150","150"
"250","0.03933888301253319","0.03933888301253319","0.03933888301253319","5","5","5","0.14824875444173813","0.14824875444173813","0.14824875444173813","5","5","5","0.04525352409109473","0.04525352409109473","0.04525352409109473","5","5","5","0.1783503070473671","0.1783503070473671","0.1783503070473671","5","5","5","0.04319633496925235","0.04319633496925235","0.04319633496925235","201","201","201"
"300","0.03802821412682533","0.03802821412682533","0.03802821412682533","6","6","6","0.134856466203928","0.134856466203928","0.134856466203928","6","6","6","0.04856839869171381","0.04856839869171381","0.04856839869171381","6","6","6","0.18284478038549423","0.18284478038549423","0.18284478038549423","6","6","6","0.04689883207902312","0.04689883207902312","0.04689883207902312","250","250","250"
"350","0.0380961112678051","0.0380961112678051","0.0380961112678051","7","7","7","0.16007733531296253","0.16007733531296253","0.16007733531296253","7","7","7","0.040994456969201565","0.040994456969201565","0.040994456969201565","7","7","7","0.16626377403736115","0.16626377403736115","0.16626377403736115","7","7","7","0.05555669032037258","0.05555669032037258","0.05555669032037258","300","300","300"
"400","0.049910650588572025","0.049910650588572025","0.049910650588572025","8","8","8","0.12244439963251352","0.12244439963251352","0.12244439963251352","8","8","8","0.05216127447783947","0.05216127447783947","0.05216127447783947","8","8","8","0.15970060974359512","0.15970060974359512","0.15970060974359512","8","8","8","0.04879199340939522","0.04879199340939522","0.04879199340939522","350","350","350"
"450","0.03717757575213909","0.03717757575213909","0.03717757575213909","9","9","9","0.09262754675000906","0.09262754675000906","0.09262754675000906","9","9","9","0.04019847419112921","0.04019847419112921","0.04019847419112921","9","9","9","0.15206313878297806","0.15206313878297806","0.15206313878297806","9","9","9","0.05078986752778292","0.05078986752778292","0.05078986752778292","400","400","400"
