"iter","env1_muon - train/loss_instant","env1_muon - train/loss_instant__MIN","env1_muon - train/loss_instant__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - train/loss_instant","env1_lion - train/loss_instant__MIN","env1_lion - train/loss_instant__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - train/loss_instant","env1_adam - train/loss_instant__MIN","env1_adam - train/loss_instant__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - train/loss_instant"," env1_sgd - train/loss_instant__MIN"," env1_sgd - train/loss_instant__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - train/loss_instant","env1_adamw - train/loss_instant__MIN","env1_adamw - train/loss_instant__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"0","11.17671012878418","11.17671012878418","11.17671012878418","0","0","0","11.17671012878418","11.17671012878418","11.17671012878418","0","0","0","11.177045822143555","11.177045822143555","11.177045822143555","0","0","0","11.177045822143555","11.177045822143555","11.177045822143555","0","0","0","11.177045822143555","11.177045822143555","11.177045822143555","1","1","1"
"50","8.187454223632812","8.187454223632812","8.187454223632812","1","1","1","10.155625343322754","10.155625343322754","10.155625343322754","1","1","1","8.973876953125","8.973876953125","8.973876953125","1","1","1","10.01610279083252","10.01610279083252","10.01610279083252","1","1","1","8.973631858825684","8.973631858825684","8.973631858825684","2","2","2"
"100","7.6897873878479","7.6897873878479","7.6897873878479","2","2","2","9.32348918914795","9.32348918914795","9.32348918914795","2","2","2","7.537084579467773","7.537084579467773","7.537084579467773","2","2","2","9.030638694763184","9.030638694763184","9.030638694763184","2","2","2","7.537467956542969","7.537467956542969","7.537467956542969","50","50","50"
"150","7.402979373931885","7.402979373931885","7.402979373931885","3","3","3","8.788280487060547","8.788280487060547","8.788280487060547","3","3","3","6.959092617034912","6.959092617034912","6.959092617034912","3","3","3","8.745222091674805","8.745222091674805","8.745222091674805","3","3","3","6.958791255950928","6.958791255950928","6.958791255950928","100","100","100"
"200","6.905439376831055","6.905439376831055","6.905439376831055","4","4","4","8.078709602355957","8.078709602355957","8.078709602355957","4","4","4","6.351675987243652","6.351675987243652","6.351675987243652","4","4","4","8.334701538085938","8.334701538085938","8.334701538085938","4","4","4","6.351794242858887","6.351794242858887","6.351794242858887","150","150","150"
"250","6.843177318572998","6.843177318572998","6.843177318572998","5","5","5","7.600195407867432","7.600195407867432","7.600195407867432","5","5","5","6.241065502166748","6.241065502166748","6.241065502166748","5","5","5","8.123894691467285","8.123894691467285","8.123894691467285","5","5","5","6.333312034606934","6.333312034606934","6.333312034606934","201","201","201"
"300","6.6387529373168945","6.6387529373168945","6.6387529373168945","6","6","6","7.270359992980957","7.270359992980957","7.270359992980957","6","6","6","6.044015407562256","6.044015407562256","6.044015407562256","6","6","6","8.005800247192383","8.005800247192383","8.005800247192383","6","6","6","6.038478374481201","6.038478374481201","6.038478374481201","250","250","250"
"350","6.612227439880371","6.612227439880371","6.612227439880371","7","7","7","7.214616775512695","7.214616775512695","7.214616775512695","7","7","7","6.0435709953308105","6.0435709953308105","6.0435709953308105","7","7","7","7.984043598175049","7.984043598175049","7.984043598175049","7","7","7","5.952676773071289","5.952676773071289","5.952676773071289","300","300","300"
"400","6.192928314208984","6.192928314208984","6.192928314208984","8","8","8","6.74619722366333","6.74619722366333","6.74619722366333","8","8","8","5.640329360961914","5.640329360961914","5.640329360961914","8","8","8","7.661059379577637","7.661059379577637","7.661059379577637","8","8","8","5.800074100494385","5.800074100494385","5.800074100494385","350","350","350"
"450","6.406205177307129","6.406205177307129","6.406205177307129","9","9","9","6.844485759735107","6.844485759735107","6.844485759735107","9","9","9","5.823794841766357","5.823794841766357","5.823794841766357","9","9","9","7.778860092163086","7.778860092163086","7.778860092163086","9","9","9","5.675271987915039","5.675271987915039","5.675271987915039","400","400","400"
"500","6.188974380493164","6.188974380493164","6.188974380493164","10","10","10","6.527670860290527","6.527670860290527","6.527670860290527","10","10","10","5.596341133117676","5.596341133117676","5.596341133117676","10","10","10","7.578094482421875","7.578094482421875","7.578094482421875","10","10","10","5.544897079467773","5.544897079467773","5.544897079467773","451","451","451"
"550","6.188218116760254","6.188218116760254","6.188218116760254","11","11","11","6.466259956359863","6.466259956359863","6.466259956359863","11","11","11","5.6150803565979","5.6150803565979","5.6150803565979","11","11","11","7.565624237060547","7.565624237060547","7.565624237060547","11","11","11","5.572372913360596","5.572372913360596","5.572372913360596","500","500","500"
"600","6.116705417633057","6.116705417633057","6.116705417633057","12","12","12","6.383758544921875","6.383758544921875","6.383758544921875","12","12","12","5.549262523651123","5.549262523651123","5.549262523651123","12","12","12","7.543353080749512","7.543353080749512","7.543353080749512","12","12","12","5.571383476257324","5.571383476257324","5.571383476257324","550","550","550"
"650","5.887200832366943","5.887200832366943","5.887200832366943","13","13","13","6.206457614898682","6.206457614898682","6.206457614898682","13","13","13","5.330097198486328","5.330097198486328","5.330097198486328","13","13","13","7.352263450622559","7.352263450622559","7.352263450622559","13","13","13","5.4056596755981445","5.4056596755981445","5.4056596755981445","600","600","600"
"700","5.766041278839111","5.766041278839111","5.766041278839111","14","14","14","6.046141147613525","6.046141147613525","6.046141147613525","14","14","14","5.224511623382568","5.224511623382568","5.224511623382568","14","14","14","7.278722763061523","7.278722763061523","7.278722763061523","14","14","14","5.25984001159668","5.25984001159668","5.25984001159668","650","650","650"
"750","5.966370105743408","5.966370105743408","5.966370105743408","15","15","15","6.231355667114258","6.231355667114258","6.231355667114258","15","15","15","5.4141645431518555","5.4141645431518555","5.4141645431518555","15","15","15","7.483006000518799","7.483006000518799","7.483006000518799","15","15","15","5.334217071533203","5.334217071533203","5.334217071533203","701","701","701"
"800","5.914819717407227","5.914819717407227","5.914819717407227","16","16","16","6.120828628540039","6.120828628540039","6.120828628540039","16","16","16","5.355467796325684","5.355467796325684","5.355467796325684","16","16","16","7.353540420532227","7.353540420532227","7.353540420532227","16","16","16","5.20770788192749","5.20770788192749","5.20770788192749","750","750","750"
"850","5.683868885040283","5.683868885040283","5.683868885040283","17","17","17","5.91172981262207","5.91172981262207","5.91172981262207","17","17","17","5.1810455322265625","5.1810455322265625","5.1810455322265625","17","17","17","7.26558780670166","7.26558780670166","7.26558780670166","17","17","17","5.201690673828125","5.201690673828125","5.201690673828125","800","800","800"
"900","5.717389106750488","5.717389106750488","5.717389106750488","18","18","18","5.911319255828857","5.911319255828857","5.911319255828857","18","18","18","5.27354621887207","5.27354621887207","5.27354621887207","18","18","18","7.211920738220215","7.211920738220215","7.211920738220215","18","18","18","5.054281234741211","5.054281234741211","5.054281234741211","850","850","850"
