"iter","env1_muon - EMA/CV","env1_muon - EMA/CV__MIN","env1_muon - EMA/CV__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/CV","env1_lion - EMA/CV__MIN","env1_lion - EMA/CV__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/CV","env1_adam - EMA/CV__MIN","env1_adam - EMA/CV__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/CV"," env1_sgd - EMA/CV__MIN"," env1_sgd - EMA/CV__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/CV","env1_adamw - EMA/CV__MIN","env1_adamw - EMA/CV__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"0","0.4503394067287445","0.4503394067287445","0.4503394067287445","0","0","0","0.4503394067287445","0.4503394067287445","0.4503394067287445","0","0","0","0.44999608397483826","0.44999608397483826","0.44999608397483826","0","0","0","0.44999608397483826","0.44999608397483826","0.44999608397483826","0","0","0","","","","","",""
"50","1.4853922615656308","1.4853922615656308","1.4853922615656308","1","1","1","0.9798398814672874","0.9798398814672874","0.9798398814672874","1","1","1","1.7438454879466143","1.7438454879466143","1.7438454879466143","1","1","1","0.9618595247168139","0.9618595247168139","0.9618595247168139","1","1","1","","","","","",""
"100","1.193685182025022","1.193685182025022","1.193685182025022","2","2","2","2.077384135279146","2.077384135279146","2.077384135279146","2","2","2","2.083969386191024","2.083969386191024","2.083969386191024","2","2","2","1.767774800052917","1.767774800052917","1.767774800052917","2","2","2","1.7431509187176961","1.7431509187176961","1.7431509187176961","50","50","50"
"150","1.165044292238787","1.165044292238787","1.165044292238787","3","3","3","1.9228716210018764","1.9228716210018764","1.9228716210018764","3","3","3","2.027898401931734","2.027898401931734","2.027898401931734","3","3","3","2.4696591206585827","2.4696591206585827","2.4696591206585827","3","3","3","2.0813010241239853","2.0813010241239853","2.0813010241239853","100","100","100"
"200","1.0467847085412925","1.0467847085412925","1.0467847085412925","4","4","4","2.585186274745786","2.585186274745786","2.585186274745786","4","4","4","1.471514090085109","1.471514090085109","1.471514090085109","4","4","4","2.223803970909242","2.223803970909242","2.223803970909242","4","4","4","2.0284338183708304","2.0284338183708304","2.0284338183708304","150","150","150"
"250","1.0612820374494358","1.0612820374494358","1.0612820374494358","5","5","5","2.6182536483287118","2.6182536483287118","2.6182536483287118","5","5","5","1.0627019715644146","1.0627019715644146","1.0627019715644146","5","5","5","2.06162538116965","2.06162538116965","2.06162538116965","5","5","5","1.4725149292466455","1.4725149292466455","1.4725149292466455","200","200","200"
"300","1.0252304661226534","1.0252304661226534","1.0252304661226534","6","6","6","2.5070209721176675","2.5070209721176675","2.5070209721176675","6","6","6","0.9986583759904113","0.9986583759904113","0.9986583759904113","6","6","6","1.9517664909103722","1.9517664909103722","1.9517664909103722","6","6","6","1.0579071610718733","1.0579071610718733","1.0579071610718733","250","250","250"
"350","1.0100429841379541","1.0100429841379541","1.0100429841379541","7","7","7","2.318248302627723","2.318248302627723","2.318248302627723","7","7","7","1.0144718502917478","1.0144718502917478","1.0144718502917478","7","7","7","1.8702885561441938","1.8702885561441938","1.8702885561441938","7","7","7","1.016024410174806","1.016024410174806","1.016024410174806","300","300","300"
"400","0.9713739401199585","0.9713739401199585","0.9713739401199585","8","8","8","2.1233956610352562","2.1233956610352562","2.1233956610352562","8","8","8","0.9922964573429105","0.9922964573429105","0.9922964573429105","8","8","8","1.6944056519839181","1.6944056519839181","1.6944056519839181","8","8","8","1.035682484463384","1.035682484463384","1.035682484463384","350","350","350"
"450","0.9620324043860805","0.9620324043860805","0.9620324043860805","9","9","9","1.8460762557403942","1.8460762557403942","1.8460762557403942","9","9","9","0.948131805631852","0.948131805631852","0.948131805631852","9","9","9","1.552117375267345","1.552117375267345","1.552117375267345","9","9","9","0.9723785951131246","0.9723785951131246","0.9723785951131246","400","400","400"
"500","0.9458669075019775","0.9458669075019775","0.9458669075019775","10","10","10","1.6628123068259992","1.6628123068259992","1.6628123068259992","10","10","10","1.006011270400969","1.006011270400969","1.006011270400969","10","10","10","1.4703211454638392","1.4703211454638392","1.4703211454638392","10","10","10","0.9902709644288327","0.9902709644288327","0.9902709644288327","450","450","450"
"550","0.9065246572899095","0.9065246572899095","0.9065246572899095","11","11","11","1.2714532158180354","1.2714532158180354","1.2714532158180354","11","11","11","0.9135634547773327","0.9135634547773327","0.9135634547773327","11","11","11","1.4001176453215367","1.4001176453215367","1.4001176453215367","11","11","11","0.9808298679218453","0.9808298679218453","0.9808298679218453","500","500","500"
"600","0.8578355486425955","0.8578355486425955","0.8578355486425955","12","12","12","1.05898022902119","1.05898022902119","1.05898022902119","12","12","12","0.9292911788348572","0.9292911788348572","0.9292911788348572","12","12","12","1.3003669361581967","1.3003669361581967","1.3003669361581967","12","12","12","0.9571943103408704","0.9571943103408704","0.9571943103408704","550","550","550"
"650","0.8318094973188882","0.8318094973188882","0.8318094973188882","13","13","13","0.9841193075525094","0.9841193075525094","0.9841193075525094","13","13","13","0.9199243488919957","0.9199243488919957","0.9199243488919957","13","13","13","1.328134282168455","1.328134282168455","1.328134282168455","13","13","13","0.9496935668318882","0.9496935668318882","0.9496935668318882","600","600","600"
"700","0.8062010934477548","0.8062010934477548","0.8062010934477548","14","14","14","1.0487539321101629","1.0487539321101629","1.0487539321101629","14","14","14","0.8895908568038314","0.8895908568038314","0.8895908568038314","14","14","14","1.298024495916111","1.298024495916111","1.298024495916111","14","14","14","0.9296985276856748","0.9296985276856748","0.9296985276856748","650","650","650"
"750","0.775698334098583","0.775698334098583","0.775698334098583","15","15","15","1.0181188426824825","1.0181188426824825","1.0181188426824825","15","15","15","0.872940603908043","0.872940603908043","0.872940603908043","15","15","15","1.2283642390190634","1.2283642390190634","1.2283642390190634","15","15","15","0.9048758634668819","0.9048758634668819","0.9048758634668819","700","700","700"
"800","0.7849430365950574","0.7849430365950574","0.7849430365950574","16","16","16","1.0710047342782523","1.0710047342782523","1.0710047342782523","16","16","16","0.9050168845661686","0.9050168845661686","0.9050168845661686","16","16","16","1.2910712769041952","1.2910712769041952","1.2910712769041952","16","16","16","0.8882953139983172","0.8882953139983172","0.8882953139983172","750","750","750"
"850","0.7219895660770788","0.7219895660770788","0.7219895660770788","17","17","17","1.0241140381933869","1.0241140381933869","1.0241140381933869","17","17","17","0.8652327177462361","0.8652327177462361","0.8652327177462361","17","17","17","1.280912667067749","1.280912667067749","1.280912667067749","17","17","17","0.8818841985722149","0.8818841985722149","0.8818841985722149","800","800","800"
