"iter","env1_muon - EMA/dropped_tokens","env1_muon - EMA/dropped_tokens__MIN","env1_muon - EMA/dropped_tokens__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/dropped_tokens","env1_lion - EMA/dropped_tokens__MIN","env1_lion - EMA/dropped_tokens__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/dropped_tokens","env1_adam - EMA/dropped_tokens__MIN","env1_adam - EMA/dropped_tokens__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/dropped_tokens"," env1_sgd - EMA/dropped_tokens__MIN"," env1_sgd - EMA/dropped_tokens__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/dropped_tokens","env1_adamw - EMA/dropped_tokens__MIN","env1_adamw - EMA/dropped_tokens__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"50","711.8000000000001","711.8000000000001","711.8000000000001","1","1","1","330.70000000000005","330.70000000000005","330.70000000000005","1","1","1","792.1","792.1","792.1","1","1","1","133.4","133.4","133.4","1","1","1","","","","","",""
"100","207.26845719257048","207.26845719257048","207.26845719257048","2","2","2","1484.1043534610608","1484.1043534610608","1484.1043534610608","2","2","2","1699.8823053417184","1699.8823053417184","1699.8823053417184","2","2","2","892.8875136126566","892.8875136126566","892.8875136126566","2","2","2","792","792","792","50","50","50"
"150","266.8682150359386","266.8682150359386","266.8682150359386","3","3","3","1087.1487402219434","1087.1487402219434","1087.1487402219434","3","3","3","1139.9608112806325","1139.9608112806325","1139.9608112806325","3","3","3","1981.3017415305826","1981.3017415305826","1981.3017415305826","3","3","3","1695.5817899641975","1695.5817899641975","1695.5817899641975","100","100","100"
"200","107.575378790274","107.575378790274","107.575378790274","4","4","4","2126.0029202240253","2126.0029202240253","2126.0029202240253","4","4","4","759.2751017664948","759.2751017664948","759.2751017664948","4","4","4","1644.4111837937205","1644.4111837937205","1644.4111837937205","4","4","4","1143.438647391101","1143.438647391101","1143.438647391101","150","150","150"
"250","0.5544193201273848","0.5544193201273848","0.5544193201273848","5","5","5","2001.0569411409408","2001.0569411409408","2001.0569411409408","5","5","5","61.51313319501962","61.51313319501962","61.51313319501962","5","5","5","1442.6749255896761","1442.6749255896761","1442.6749255896761","5","5","5","768.0930257520159","768.0930257520159","768.0930257520159","200","200","200"
"300","34.40285735254653","34.40285735254653","34.40285735254653","6","6","6","1797.212997651688","1797.212997651688","1797.212997651688","6","6","6","185.01702486078509","185.01702486078509","185.01702486078509","6","6","6","1364.5352222637266","1364.5352222637266","1364.5352222637266","6","6","6","3.9585787930362333","3.9585787930362333","3.9585787930362333","250","250","250"
"350","0.17730459328452502","0.17730459328452502","0.17730459328452502","7","7","7","1722.2624317895707","1722.2624317895707","1722.2624317895707","7","7","7","51.653536155659644","51.653536155659644","51.653536155659644","7","7","7","1346.7325077980179","1346.7325077980179","1346.7325077980179","7","7","7","120.02040162523977","120.02040162523977","120.02040162523977","300","300","300"
"400","0.0009137880170137628","0.0009137880170137628","0.0009137880170137628","8","8","8","1438.876153421456","1438.876153421456","1438.876153421456","8","8","8","229.76621071400945","229.76621071400945","229.76621071400945","8","8","8","1023.5407566095815","1023.5407566095815","1023.5407566095815","8","8","8","362.0185581702688","362.0185581702688","362.0185581702688","350","350","350"
"450","0.000004709458026831747","0.000004709458026831747","0.000004709458026831747","9","9","9","1136.2156442459077","1136.2156442459077","1136.2156442459077","9","9","9","1.1841634002577524","1.1841634002577524","1.1841634002577524","9","9","9","931.9750989750962","931.9750989750962","931.9750989750962","9","9","9","200.96576226968773","200.96576226968773","200.96576226968773","400","400","400"
"500","2.4271488018600194e-8","2.4271488018600194e-8","2.4271488018600194e-8","10","10","10","737.7558000174839","737.7558000174839","737.7558000174839","10","10","10","215.00610291197367","215.00610291197367","215.00610291197367","10","10","10","833.3031901589376","833.3031901589376","833.3031901589376","10","10","10","179.8357323631057","179.8357323631057","179.8357323631057","450","450","450"
"550","1.25089793195029e-10","1.25089793195029e-10","1.25089793195029e-10","11","11","11","217.20222755118672","217.20222755118672","217.20222755118672","11","11","11","1.1080931226102484","1.1080931226102484","1.1080931226102484","11","11","11","757.7946573216219","757.7946573216219","757.7946573216219","11","11","11","179.32683293884324","179.32683293884324","179.32683293884324","500","500","500"
"600","6.446846748573414e-13","6.446846748573414e-13","6.446846748573414e-13","12","12","12","1.1194114553280092","1.1194114553280092","1.1194114553280092","12","12","12","147.20571086286273","147.20571086286273","147.20571086286273","12","12","12","470.50550331714385","470.50550331714385","470.50550331714385","12","12","12","126.02421018560746","126.02421018560746","126.02421018560746","550","550","550"
"650","3.3225598938190016e-15","3.3225598938190016e-15","3.3225598938190016e-15","13","13","13","0.005769195005259628","0.005769195005259628","0.005769195005259628","13","13","13","63.85866514302096","63.85866514302096","63.85866514302096","13","13","13","657.4248795979036","657.4248795979036","657.4248795979036","13","13","13","165.44950044997668","165.44950044997668","165.44950044997668","600","600","600"
"700","1.712372680560055e-17","1.712372680560055e-17","1.712372680560055e-17","14","14","14","116.90002973313419","116.90002973313419","116.90002973313419","14","14","14","0.3291132051866587","0.3291132051866587","0.3291132051866587","14","14","14","571.6882200451472","571.6882200451472","571.6882200451472","14","14","14","192.2526895334826","192.2526895334826","192.2526895334826","650","650","650"
"750","8.825183866762702e-20","8.825183866762702e-20","8.825183866762702e-20","15","15","15","0.6024764749736118","0.6024764749736118","0.6024764749736118","15","15","15","112.6016961754773","112.6016961754773","112.6016961754773","15","15","15","355.1463525747857","355.1463525747857","355.1463525747857","15","15","15","0.9908271448582755","0.9908271448582755","0.9908271448582755","700","700","700"
"800","4.548301381256314e-22","4.548301381256314e-22","4.548301381256314e-22","16","16","16","0.0031050283197126215","0.0031050283197126215","0.0031050283197126215","16","16","16","0.5803238300513676","0.5803238300513676","0.5803238300513676","16","16","16","443.8303444668701","443.8303444668701","443.8303444668701","16","16","16","67.20510650037392","67.20510650037392","67.20510650037392","750","750","750"
"850","2.3440922894138647e-24","2.3440922894138647e-24","2.3440922894138647e-24","17","17","17","0.000016002617972161765","0.000016002617972161765","0.000016002617972161765","17","17","17","74.00299085856754","74.00299085856754","74.00299085856754","17","17","17","490.3874018255697","490.3874018255697","490.3874018255697","17","17","17","65.04636001168694","65.04636001168694","65.04636001168694","800","800","800"
"900","1.2080924724851433e-26","1.2080924724851433e-26","1.2080924724851433e-26","18","18","18","8.247389575714264e-8","8.247389575714264e-8","8.247389575714264e-8","18","18","18","323.8813947795544","323.8813947795544","323.8813947795544","18","18","18","551.4273464335107","551.4273464335107","551.4273464335107","18","18","18","272.63523431755465","272.63523431755465","272.63523431755465","850","850","850"
"950","6.226237032843993e-29","6.226237032843993e-29","6.226237032843993e-29","19","19","19","4.250519192042655e-10","4.250519192042655e-10","4.250519192042655e-10","19","19","19","271.96921190252715","271.96921190252715","271.96921190252715","19","19","19","397.84193258668734","397.84193258668734","397.84193258668734","19","19","19","122.00510071126773","122.00510071126773","122.00510071126773","900","900","900"
"1000","83.7","83.7","83.7","20","20","20","2.190622043018779e-12","2.190622043018779e-12","2.190622043018779e-12","20","20","20","396.90166818145764","396.90166818145764","396.90166818145764","20","20","20","323.5503878885976","323.5503878885976","323.5503878885976","20","20","20","189.72878686321235","189.72878686321235","189.72878686321235","950","950","950"
"1050","304.6313709848527","304.6313709848527","304.6313709848527","21","21","21","74.20000000000002","74.20000000000002","74.20000000000002","21","21","21","282.1455419772176","282.1455419772176","282.1455419772176","21","21","21","314.8675059674191","314.8675059674191","314.8675059674191","21","21","21","390.97781951785055","390.97781951785055","390.97781951785055","1000","1000","1000"
"1100","323.77000160715374","323.77000160715374","323.77000160715374","22","22","22","203.28241012038316","203.28241012038316","203.28241012038316","22","22","22","447.75411469909807","447.75411469909807","447.75411469909807","22","22","22","516.9227563458456","516.9227563458456","516.9227563458456","22","22","22","342.31501179284317","342.31501179284317","342.31501179284317","1050","1050","1050"
"1150","445.46863780715694","445.46863780715694","445.46863780715694","23","23","23","1.0476718453627116","1.0476718453627116","1.0476718453627116","23","23","23","230.70762405531178","230.70762405531178","230.70762405531178","23","23","23","161.76410368575483","161.76410368575483","161.76410368575483","23","23","23","324.66421462087146","324.66421462087146","324.66421462087146","1100","1100","1100"
"1200","404.99584522116925","404.99584522116925","404.99584522116925","24","24","24","35.70539946518204","35.70539946518204","35.70539946518204","24","24","24","467.189015232996","467.189015232996","467.189015232996","24","24","24","281.43369582701","281.43369582701","281.43369582701","24","24","24","320.17324638001713","320.17324638001713","320.17324638001713","1150","1150","1150"
"1250","398.68725754616855","398.68725754616855","398.68725754616855","25","25","25","126.18401760253111","126.18401760253111","126.18401760253111","25","25","25","259.1077871638401","259.1077871638401","259.1077871638401","25","25","25","370.65044600405776","370.65044600405776","370.65044600405776","25","25","25","489.05010093924056","489.05010093924056","489.05010093924056","1200","1200","1200"
"1300","437.45474450341595","437.45474450341595","437.45474450341595","26","26","26","159.65032406147998","159.65032406147998","159.65032406147998","26","26","26","455.9353832895086","455.9353832895086","455.9353832895086","26","26","26","282.41024907919785","282.41024907919785","282.41024907919785","26","26","26","324.1204542853581","324.1204542853581","324.1204542853581","1250","1250","1250"
"1350","417.05454341654627","417.05454341654627","417.05454341654627","27","27","27","121.02280188198868","121.02280188198868","121.02280188198868","27","27","27","518.5497884745375","518.5497884745375","518.5497884745375","27","27","27","390.8554789399975","390.8554789399975","390.8554789399975","27","27","27","263.1704439614812","263.1704439614812","263.1704439614812","1300","1300","1300"
"1400","377.44940536596044","377.44940536596044","377.44940536596044","28","28","28","0.6237243158598077","0.6237243158598077","0.6237243158598077","28","28","28","274.87248904360115","274.87248904360115","274.87248904360115","28","28","28","190.3143812770062","190.3143812770062","190.3143812770062","28","28","28","429.0563213093882","429.0563213093882","429.0563213093882","1350","1350","1350"
"1450","425.8452893873928","425.8452893873928","425.8452893873928","29","29","29","0.0032145349152809814","0.0032145349152809814","0.0032145349152809814","29","29","29","396.6166310192073","396.6166310192073","396.6166310192073","29","29","29","357.8808375398219","357.8808375398219","357.8808375398219","29","29","29","261.51125983130834","261.51125983130834","261.51125983130834","1400","1400","1400"
"1500","329.79471089459884","329.79471089459884","329.79471089459884","30","30","30","0.000016566990349440005","0.000016566990349440005","0.000016566990349440005","30","30","30","375.94407295975765","375.94407295975765","375.94407295975765","30","30","30","335.54443738768776","335.54443738768776","335.54443738768776","30","30","30","633.7477702473537","633.7477702473537","633.7477702473537","1450","1450","1450"
"1550","333.8996878045139","333.8996878045139","333.8996878045139","31","31","31","45.70000008538255","45.70000008538255","45.70000008538255","31","31","31","510.03753124255894","510.03753124255894","510.03753124255894","31","31","31","400.9293206023629","400.9293206023629","400.9293206023629","31","31","31","221.56619354599522","221.56619354599522","221.56619354599522","1500","1500","1500"
"1600","375.02084393273884","375.02084393273884","375.02084393273884","32","32","32","6.735527527414572","6.735527527414572","6.735527527414572","32","32","32","141.12861878332066","141.12861878332066","141.12861878332066","32","32","32","392.06629959240814","392.06629959240814","392.06629959240814","32","32","32","234.74190235507766","234.74190235507766","234.74190235507766","1550","1550","1550"
"1650","273.9327731276888","273.9327731276888","273.9327731276888","33","33","33","0.034713394779011426","0.034713394779011426","0.034713394779011426","33","33","33","131.52734517652883","131.52734517652883","131.52734517652883","33","33","33","215.62062157446513","215.62062157446513","215.62062157446513","33","33","33","527.0098069964769","527.0098069964769","527.0098069964769","1600","1600","1600"
"1700","397.61178793461795","397.61178793461795","397.61178793461795","34","34","34","0.00017890503337398485","0.00017890503337398485","0.00017890503337398485","34","34","34","106.67786237065543","106.67786237065543","106.67786237065543","34","34","34","222.61126021365743","222.61126021365743","222.61126021365743","34","34","34","127.416090077313","127.416090077313","127.416090077313","1650","1650","1650"
"1750","363.2492017747957","363.2492017747957","363.2492017747957","35","35","35","9.220363254676221e-7","9.220363254676221e-7","9.220363254676221e-7","35","35","35","211.9497937222558","211.9497937222558","211.9497937222558","35","35","35","319.54728839375946","319.54728839375946","319.54728839375946","35","35","35","317.8566738860542","317.8566738860542","317.8566738860542","1700","1700","1700"
"1800","267.4721047301858","267.4721047301858","267.4721047301858","36","36","36","4.751967954443576e-9","4.751967954443576e-9","4.751967954443576e-9","36","36","36","264.9923415920824","264.9923415920824","264.9923415920824","36","36","36","225.84687489249015","225.84687489249015","225.84687489249015","36","36","36","634.0381618453553","634.0381618453553","634.0381618453553","1750","1750","1750"
"1850","365.2784911020082","365.2784911020082","365.2784911020082","37","37","37","43.700000000024495","43.700000000024495","43.700000000024495","37","37","37","266.56571096022697","266.56571096022697","266.56571096022697","37","37","37","260.56396402447166","260.56396402447166","260.56396402447166","37","37","37","276.7676901590134","276.7676901590134","276.7676901590134","1800","1800","1800"
"1900","318.48256323120887","318.48256323120887","318.48256323120887","38","38","38","11.125219976560016","11.125219976560016","11.125219976560016","38","38","38","252.4738197522685","252.4738197522685","252.4738197522685","38","38","38","199.3428880977104","199.3428880977104","199.3428880977104","38","38","38","416.4263984597288","416.4263984597288","416.4263984597288","1850","1850","1850"
"1950","347.0413875383448","347.0413875383448","347.0413875383448","39","39","39","0.057336882891177554","0.057336882891177554","0.057336882891177554","39","39","39","155.40119331273667","155.40119331273667","155.40119331273667","39","39","39","319.72736843443363","319.72736843443363","319.72736843443363","39","39","39","372.14616804805536","372.14616804805536","372.14616804805536","1900","1900","1900"
"2000","326.8885732990091","326.8885732990091","326.8885732990091","40","40","40","81.0002955014055","81.0002955014055","81.0002955014055","40","40","40","143.20090281728315","143.20090281728315","143.20090281728315","40","40","40","273.1478029845391","273.1478029845391","273.1478029845391","40","40","40","192.31795769438526","192.31795769438526","192.31795769438526","1950","1950","1950"
"2050","289.0847102246247","289.0847102246247","289.0847102246247","41","41","41","2.617457314740747","2.617457314740747","2.617457314740747","41","41","41","257.1380252626056","257.1380252626056","257.1380252626056","41","41","41","149.7077423749557","149.7077423749557","149.7077423749557","41","41","41","109.89116352228777","109.89116352228777","109.89116352228777","2000","2000","2000"
"2100","362.789877612371","362.789877612371","362.789877612371","42","42","42","0.013489786614929559","0.013489786614929559","0.013489786614929559","42","42","42","272.4252315794577","272.4252315794577","272.4252315794577","42","42","42","390.0715600509959","390.0715600509959","390.0715600509959","42","42","42","435.86635435406475","435.86635435406475","435.86635435406475","2050","2050","2050"
"2150","431.46973747670535","431.46973747670535","431.46973747670535","43","43","43","107.80006952332782","107.80006952332782","107.80006952332782","43","43","43","269.70401840436267","269.70401840436267","269.70401840436267","43","43","43","403.41034113527155","403.41034113527155","403.41034113527155","43","43","43","313.046357210775","313.046357210775","313.046357210775","2100","2100","2100"
"2200","362.6236980357164","362.6236980357164","362.6236980357164","44","44","44","0.5555773256567121","0.5555773256567121","0.5555773256567121","44","44","44","91.98999388336702","91.98999388336702","91.98999388336702","44","44","44","206.97908621451953","206.97908621451953","206.97908621451953","44","44","44","154.61337055453478","154.61337055453478","154.61337055453478","2150","2150","2150"
"2250","414.26888102452324","414.26888102452324","414.26888102452324","45","45","45","35.80286332064672","35.80286332064672","35.80286332064672","45","45","45","527.6740957497976","527.6740957497976","527.6740957497976","45","45","45","307.4667236829662","307.4667236829662","307.4667236829662","45","45","45","106.79684255588415","106.79684255588415","106.79684255588415","2200","2200","2200"
"2300","395.1350486881884","395.1350486881884","395.1350486881884","46","46","46","0.18451990933301995","0.18451990933301995","0.18451990933301995","46","46","46","251.11951367222036","251.11951367222036","251.11951367222036","46","46","46","297.48461437759323","297.48461437759323","297.48461437759323","46","46","46","0.5504069193845861","0.5504069193845861","0.5504069193845861","2250","2250","2250"
"2350","292.9364372174725","292.9364372174725","292.9364372174725","47","47","47","0.000950974133977475","0.000950974133977475","0.000950974133977475","47","47","47","281.0942135236382","281.0942135236382","281.0942135236382","47","47","47","242.73316883013845","242.73316883013845","242.73316883013845","47","47","47","273.6028366735351","273.6028366735351","273.6028366735351","2300","2300","2300"
"2400","303.7097285474521","303.7097285474521","303.7097285474521","48","48","48","0.000004901106914495834","0.000004901106914495834","0.000004901106914495834","48","48","48","118.64869638857928","118.64869638857928","118.64869638857928","48","48","48","222.750992187511","222.750992187511","222.750992187511","48","48","48","304.1100875163005","304.1100875163005","304.1100875163005","2350","2350","2350"
"2450","287.3652516692098","287.3652516692098","287.3652516692098","49","49","49","2.525920330435383e-8","2.525920330435383e-8","2.525920330435383e-8","49","49","49","326.01148870982837","326.01148870982837","326.01148870982837","49","49","49","286.74800854094195","286.74800854094195","286.74800854094195","49","49","49","26.06731502933746","26.06731502933746","26.06731502933746","2400","2400","2400"
