"iter","env1_muon - EMA/Grad_Norm","env1_muon - EMA/Grad_Norm__MIN","env1_muon - EMA/Grad_Norm__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/Grad_Norm","env1_lion - EMA/Grad_Norm__MIN","env1_lion - EMA/Grad_Norm__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/Grad_Norm","env1_adam - EMA/Grad_Norm__MIN","env1_adam - EMA/Grad_Norm__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/Grad_Norm"," env1_sgd - EMA/Grad_Norm__MIN"," env1_sgd - EMA/Grad_Norm__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/Grad_Norm","env1_adamw - EMA/Grad_Norm__MIN","env1_adamw - EMA/Grad_Norm__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"0","2.2431037425994873","2.2431037425994873","2.2431037425994873","0","0","0","2.243103504180908","2.243103504180908","2.243103504180908","0","0","0","2.243668556213379","2.243668556213379","2.243668556213379","0","0","0","2.243668556213379","2.243668556213379","2.243668556213379","0","0","0","","","","","",""
"50","0.5320004131581446","0.5320004131581446","0.5320004131581446","1","1","1","2.070032606565944","2.070032606565944","2.070032606565944","1","1","1","1.3215687261061286","1.3215687261061286","1.3215687261061286","1","1","1","2.2056476825362172","2.2056476825362172","2.2056476825362172","1","1","1","","","","","",""
"100","0.3811957329269455","0.3811957329269455","0.3811957329269455","2","2","2","1.3876520820176133","1.3876520820176133","1.3876520820176133","2","2","2","0.6949455503539446","0.6949455503539446","0.6949455503539446","2","2","2","0.8392191442660691","0.8392191442660691","0.8392191442660691","2","2","2","1.3216115675864593","1.3216115675864593","1.3216115675864593","50","50","50"
"150","0.33997881034792515","0.33997881034792515","0.33997881034792515","3","3","3","1.125999792570673","1.125999792570673","1.125999792570673","3","3","3","0.24596035643845404","0.24596035643845404","0.24596035643845404","3","3","3","0.5035945204218011","0.5035945204218011","0.5035945204218011","3","3","3","0.6956841138245689","0.6956841138245689","0.6956841138245689","100","100","100"
"200","0.3695637826853009","0.3695637826853009","0.3695637826853009","4","4","4","0.8869807841804255","0.8869807841804255","0.8869807841804255","4","4","4","0.2875467920361255","0.2875467920361255","0.2875467920361255","4","4","4","0.39705967137820103","0.39705967137820103","0.39705967137820103","4","4","4","0.24643235744985","0.24643235744985","0.24643235744985","150","150","150"
"250","0.4120150197795122","0.4120150197795122","0.4120150197795122","5","5","5","0.5630231785364255","0.5630231785364255","0.5630231785364255","5","5","5","0.3952135675506364","0.3952135675506364","0.3952135675506364","5","5","5","0.3248066988304554","0.3248066988304554","0.3248066988304554","5","5","5","0.28695205129643125","0.28695205129643125","0.28695205129643125","200","200","200"
"300","0.42228916118774584","0.42228916118774584","0.42228916118774584","6","6","6","0.2796230037784666","0.2796230037784666","0.2796230037784666","6","6","6","0.3382105484215587","0.3382105484215587","0.3382105484215587","6","6","6","0.294500036174292","0.294500036174292","0.294500036174292","6","6","6","0.3883454673738528","0.3883454673738528","0.3883454673738528","250","250","250"
"350","0.46449146789751505","0.46449146789751505","0.46449146789751505","7","7","7","0.39297605739481983","0.39297605739481983","0.39297605739481983","7","7","7","0.46091477266024233","0.46091477266024233","0.46091477266024233","7","7","7","0.26686071720353205","0.26686071720353205","0.26686071720353205","7","7","7","0.36761891028955185","0.36761891028955185","0.36761891028955185","300","300","300"
"400","0.5134792899979588","0.5134792899979588","0.5134792899979588","8","8","8","0.5877297102164203","0.5877297102164203","0.5877297102164203","8","8","8","0.44783050974829636","0.44783050974829636","0.44783050974829636","8","8","8","0.25213783212808794","0.25213783212808794","0.25213783212808794","8","8","8","0.4962660962830649","0.4962660962830649","0.4962660962830649","350","350","350"
"450","0.5734160223241195","0.5734160223241195","0.5734160223241195","9","9","9","0.5086133092164582","0.5086133092164582","0.5086133092164582","9","9","9","0.5691595257433005","0.5691595257433005","0.5691595257433005","9","9","9","0.24751909613395418","0.24751909613395418","0.24751909613395418","9","9","9","0.5191150005641861","0.5191150005641861","0.5191150005641861","400","400","400"
"500","0.5375641994506021","0.5375641994506021","0.5375641994506021","10","10","10","0.5144552834506627","0.5144552834506627","0.5144552834506627","10","10","10","0.5906352194915128","0.5906352194915128","0.5906352194915128","10","10","10","0.2543286814310824","0.2543286814310824","0.2543286814310824","10","10","10","0.5954747798049969","0.5954747798049969","0.5954747798049969","450","450","450"
"550","0.6123014856118704","0.6123014856118704","0.6123014856118704","11","11","11","0.4317550333770563","0.4317550333770563","0.4317550333770563","11","11","11","0.7302865725193912","0.7302865725193912","0.7302865725193912","11","11","11","0.2513416370588254","0.2513416370588254","0.2513416370588254","11","11","11","0.6758177524463452","0.6758177524463452","0.6758177524463452","500","500","500"
"600","0.6530185476470061","0.6530185476470061","0.6530185476470061","12","12","12","0.367850405564251","0.367850405564251","0.367850405564251","12","12","12","0.7581093439805603","0.7581093439805603","0.7581093439805603","12","12","12","0.25545894478218434","0.25545894478218434","0.25545894478218434","12","12","12","0.7146663739661009","0.7146663739661009","0.7146663739661009","550","550","550"
"650","0.6405327689932497","0.6405327689932497","0.6405327689932497","13","13","13","0.3327526686619608","0.3327526686619608","0.3327526686619608","13","13","13","0.7702420098714902","0.7702420098714902","0.7702420098714902","13","13","13","0.250626723508934","0.250626723508934","0.250626723508934","13","13","13","0.6972914962789682","0.6972914962789682","0.6972914962789682","600","600","600"
"700","0.6328027108835547","0.6328027108835547","0.6328027108835547","14","14","14","0.2937314670471835","0.2937314670471835","0.2937314670471835","14","14","14","0.8337333121760608","0.8337333121760608","0.8337333121760608","14","14","14","0.2702270377537404","0.2702270377537404","0.2702270377537404","14","14","14","0.7895085620895391","0.7895085620895391","0.7895085620895391","650","650","650"
"750","0.645629052208015","0.645629052208015","0.645629052208015","15","15","15","0.2742016255134515","0.2742016255134515","0.2742016255134515","15","15","15","0.8424563867268062","0.8424563867268062","0.8424563867268062","15","15","15","0.2493761265767954","0.2493761265767954","0.2493761265767954","15","15","15","0.7736158295551487","0.7736158295551487","0.7736158295551487","700","700","700"
"800","0.7645341766178531","0.7645341766178531","0.7645341766178531","16","16","16","0.2706783951840815","0.2706783951840815","0.2706783951840815","16","16","16","0.9398255391346296","0.9398255391346296","0.9398255391346296","16","16","16","0.28341402091768536","0.28341402091768536","0.28341402091768536","16","16","16","0.8380067547495931","0.8380067547495931","0.8380067547495931","750","750","750"
"850","0.70343285483562","0.70343285483562","0.70343285483562","17","17","17","0.29419109211852706","0.29419109211852706","0.29419109211852706","17","17","17","0.8165673655862514","0.8165673655862514","0.8165673655862514","17","17","17","0.2704089836813769","0.2704089836813769","0.2704089836813769","17","17","17","0.8048382644046662","0.8048382644046662","0.8048382644046662","800","800","800"
"900","0.7665983780517468","0.7665983780517468","0.7665983780517468","18","18","18","0.3099344461230196","0.3099344461230196","0.3099344461230196","18","18","18","0.8479473517758384","0.8479473517758384","0.8479473517758384","18","18","18","0.2718965575416729","0.2718965575416729","0.2718965575416729","18","18","18","0.8757524525735391","0.8757524525735391","0.8757524525735391","850","850","850"
"950","0.762320870936648","0.762320870936648","0.762320870936648","19","19","19","0.3475347996867279","0.3475347996867279","0.3475347996867279","19","19","19","0.9459233223232226","0.9459233223232226","0.9459233223232226","19","19","19","0.28463090887799236","0.28463090887799236","0.28463090887799236","19","19","19","0.8738307964361667","0.8738307964361667","0.8738307964361667","900","900","900"
"1000","0.7412575181536658","0.7412575181536658","0.7412575181536658","20","20","20","0.40960193039852477","0.40960193039852477","0.40960193039852477","20","20","20","0.9521428415107633","0.9521428415107633","0.9521428415107633","20","20","20","0.31789636813524635","0.31789636813524635","0.31789636813524635","20","20","20","0.9536404359902199","0.9536404359902199","0.9536404359902199","950","950","950"
"1050","0.7718855437215997","0.7718855437215997","0.7718855437215997","21","21","21","0.5619323236294282","0.5619323236294282","0.5619323236294282","21","21","21","0.9831410036439702","0.9831410036439702","0.9831410036439702","21","21","21","0.3061617995954533","0.3061617995954533","0.3061617995954533","21","21","21","0.9118529560773176","0.9118529560773176","0.9118529560773176","1000","1000","1000"
"1100","0.7998878913875124","0.7998878913875124","0.7998878913875124","22","22","22","0.4663608257558284","0.4663608257558284","0.4663608257558284","22","22","22","1.1018742909424266","1.1018742909424266","1.1018742909424266","22","22","22","0.323049123273242","0.323049123273242","0.323049123273242","22","22","22","0.9703344533565337","0.9703344533565337","0.9703344533565337","1050","1050","1050"
"1150","0.7893625425949214","0.7893625425949214","0.7893625425949214","23","23","23","0.5115512641899512","0.5115512641899512","0.5115512641899512","23","23","23","1.1124073942023023","1.1124073942023023","1.1124073942023023","23","23","23","0.3307936750531248","0.3307936750531248","0.3307936750531248","23","23","23","1.066170494005767","1.066170494005767","1.066170494005767","1100","1100","1100"
"1200","0.779174349069949","0.779174349069949","0.779174349069949","24","24","24","0.4428707872753156","0.4428707872753156","0.4428707872753156","24","24","24","1.1321423587551154","1.1321423587551154","1.1321423587551154","24","24","24","0.33321486829823616","0.33321486829823616","0.33321486829823616","24","24","24","1.108181543740673","1.108181543740673","1.108181543740673","1150","1150","1150"
