"iter","env1_muon - EMA/KL_Div","env1_muon - EMA/KL_Div__MIN","env1_muon - EMA/KL_Div__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/KL_Div","env1_lion - EMA/KL_Div__MIN","env1_lion - EMA/KL_Div__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/KL_Div","env1_adam - EMA/KL_Div__MIN","env1_adam - EMA/KL_Div__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/KL_Div"," env1_sgd - EMA/KL_Div__MIN"," env1_sgd - EMA/KL_Div__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/KL_Div","env1_adamw - EMA/KL_Div__MIN","env1_adamw - EMA/KL_Div__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"0","0.015678207855671644","0.015678207855671644","0.015678207855671644","0","0","0","0.015678207855671644","0.015678207855671644","0.015678207855671644","0","0","0","0.01567380828782916","0.01567380828782916","0.01567380828782916","0","0","0","0.01567380828782916","0.01567380828782916","0.01567380828782916","0","0","0","","","","","",""
"50","0.007559638510250405","0.007559638510250405","0.007559638510250405","1","1","1","0.008929998933129861","0.008929998933129861","0.008929998933129861","1","1","1","0.019741719678363606","0.019741719678363606","0.019741719678363606","1","1","1","0.01114265191959481","0.01114265191959481","0.01114265191959481","1","1","1","","","","","",""
"100","0.005102000952657127","0.005102000952657127","0.005102000952657127","2","2","2","0.021950201170836632","0.021950201170836632","0.021950201170836632","2","2","2","0.017392013596362853","0.017392013596362853","0.017392013596362853","2","2","2","0.01846048522230483","0.01846048522230483","0.01846048522230483","2","2","2","0.019719954669794842","0.019719954669794842","0.019719954669794842","50","50","50"
"150","0.004881373862993856","0.004881373862993856","0.004881373862993856","3","3","3","0.023569713299963147","0.023569713299963147","0.023569713299963147","3","3","3","0.010148564485927747","0.010148564485927747","0.010148564485927747","3","3","3","0.01745399038867993","0.01745399038867993","0.01745399038867993","3","3","3","0.01737546358095934","0.01737546358095934","0.01737546358095934","100","100","100"
"200","0.004222787417280464","0.004222787417280464","0.004222787417280464","4","4","4","0.02160372607869499","0.02160372607869499","0.02160372607869499","4","4","4","0.008041880624026493","0.008041880624026493","0.008041880624026493","4","4","4","0.017489381237665122","0.017489381237665122","0.017489381237665122","4","4","4","0.010147775669795814","0.010147775669795814","0.010147775669795814","150","150","150"
"250","0.003955651598350283","0.003955651598350283","0.003955651598350283","5","5","5","0.014936216192023927","0.014936216192023927","0.014936216192023927","5","5","5","0.0045667984540898095","0.0045667984540898095","0.0045667984540898095","5","5","5","0.017925167044150758","0.017925167044150758","0.017925167044150758","5","5","5","0.008056841142906649","0.008056841142906649","0.008056841142906649","200","200","200"
"300","0.0038232079518189075","0.0038232079518189075","0.0038232079518189075","6","6","6","0.013562624521094427","0.013562624521094427","0.013562624521094427","6","6","6","0.004880376121820898","0.004880376121820898","0.004880376121820898","6","6","6","0.01837686032004864","0.01837686032004864","0.01837686032004864","6","6","6","0.004361156645056864","0.004361156645056864","0.004361156645056864","250","250","250"
"350","0.0038293150811350234","0.0038293150811350234","0.0038293150811350234","7","7","7","0.016077632249299263","0.016077632249299263","0.016077632249299263","7","7","7","0.004124598058379194","0.004124598058379194","0.004124598058379194","7","7","7","0.016721087610841966","0.016721087610841966","0.016721087610841966","7","7","7","0.004712359628894846","0.004712359628894846","0.004712359628894846","300","300","300"
"400","0.005010800487983374","0.005010800487983374","0.005010800487983374","8","8","8","0.012327300465730202","0.012327300465730202","0.012327300465730202","8","8","8","0.005237384698997383","0.005237384698997383","0.005237384698997383","8","8","8","0.0160562377011277","0.0160562377011277","0.0160562377011277","8","8","8","0.005579955474260633","0.005579955474260633","0.005579955474260633","350","350","350"
"450","0.0037435821145377058","0.0037435821145377058","0.0037435821145377058","9","9","9","0.009326286810514372","0.009326286810514372","0.009326286810514372","9","9","9","0.004046839722525811","0.004046839722525811","0.004046839722525811","9","9","9","0.015289064118084717","0.015289064118084717","0.015289064118084717","9","9","9","0.004907957177120717","0.004907957177120717","0.004907957177120717","400","400","400"
"500","0.004128292318917746","0.004128292318917746","0.004128292318917746","10","10","10","0.006789476824649154","0.006789476824649154","0.006789476824649154","10","10","10","0.005591192840362572","0.005591192840362572","0.005591192840362572","10","10","10","0.014588280571462284","0.014588280571462284","0.014588280571462284","10","10","10","0.005104281260796325","0.005104281260796325","0.005104281260796325","450","450","450"
"550","0.004047278168684561","0.004047278168684561","0.004047278168684561","11","11","11","0.004985388619585535","0.004985388619585535","0.004985388619585535","11","11","11","0.004325896480196738","0.004325896480196738","0.004325896480196738","11","11","11","0.013838564396856783","0.013838564396856783","0.013838564396856783","11","11","11","0.004854530183692312","0.004854530183692312","0.004854530183692312","500","500","500"
"600","0.00420759732372176","0.00420759732372176","0.00420759732372176","12","12","12","0.003825033421768324","0.003825033421768324","0.003825033421768324","12","12","12","0.004942598892121822","0.004942598892121822","0.004942598892121822","12","12","12","0.013177727330167354","0.013177727330167354","0.013177727330167354","12","12","12","0.004618477277083726","0.004618477277083726","0.004618477277083726","550","550","550"
"650","0.0038062722450280355","0.0038062722450280355","0.0038062722450280355","13","13","13","0.003817350148892058","0.003817350148892058","0.003817350148892058","13","13","13","0.004951310877064289","0.004951310877064289","0.004951310877064289","13","13","13","0.013660777382230725","0.013660777382230725","0.013660777382230725","13","13","13","0.005562777947970253","0.005562777947970253","0.005562777947970253","600","600","600"
"700","0.0044618612534069214","0.0044618612534069214","0.0044618612534069214","14","14","14","0.003996731195448203","0.003996731195448203","0.003996731195448203","14","14","14","0.00433917975325262","0.00433917975325262","0.00433917975325262","14","14","14","0.012958111183365446","0.012958111183365446","0.012958111183365446","14","14","14","0.005409430185396585","0.005409430185396585","0.005409430185396585","650","650","650"
"750","0.004006873122277918","0.004006873122277918","0.004006873122277918","15","15","15","0.002718903771114837","0.002718903771114837","0.002718903771114837","15","15","15","0.005238539406119276","0.005238539406119276","0.005238539406119276","15","15","15","0.013093884947292739","0.013093884947292739","0.013093884947292739","15","15","15","0.004572947448623181","0.004572947448623181","0.004572947448623181","700","700","700"
"800","0.0037168312171616913","0.0037168312171616913","0.0037168312171616913","16","16","16","0.0031868997355172695","0.0031868997355172695","0.0031868997355172695","16","16","16","0.004931009891486255","0.004931009891486255","0.004931009891486255","16","16","16","0.013558649322636892","0.013558649322636892","0.013558649322636892","16","16","16","0.005867355956047298","0.005867355956047298","0.005867355956047298","750","750","750"
"850","0.0034181411282738993","0.0034181411282738993","0.0034181411282738993","17","17","17","0.0032577579768516213","0.0032577579768516213","0.0032577579768516213","17","17","17","0.005614248049296712","0.005614248049296712","0.005614248049296712","17","17","17","0.012629169206056013","0.012629169206056013","0.012629169206056013","17","17","17","0.00528558168109208","0.00528558168109208","0.00528558168109208","800","800","800"
"900","0.004293606608530782","0.004293606608530782","0.004293606608530782","18","18","18","0.0037484299012004473","0.0037484299012004473","0.0037484299012004473","18","18","18","0.006644123290246313","0.006644123290246313","0.006644123290246313","18","18","18","0.01353438906329346","0.01353438906329346","0.01353438906329346","18","18","18","0.006197980119582598","0.006197980119582598","0.006197980119582598","850","850","850"
"950","0.003977083101180153","0.003977083101180153","0.003977083101180153","19","19","19","0.003415656393690101","0.003415656393690101","0.003415656393690101","19","19","19","0.0062499234535421","0.0062499234535421","0.0062499234535421","19","19","19","0.012830110012469831","0.012830110012469831","0.012830110012469831","19","19","19","0.005605875822794781","0.005605875822794781","0.005605875822794781","900","900","900"
"1000","0.00441535271506931","0.00441535271506931","0.00441535271506931","20","20","20","0.003370882702337991","0.003370882702337991","0.003370882702337991","20","20","20","0.006788487710387294","0.006788487710387294","0.006788487710387294","20","20","20","0.012651959779301468","0.012651959779301468","0.012651959779301468","20","20","20","0.0059852320050095","0.0059852320050095","0.0059852320050095","950","950","950"
"1050","0.00587311665041931","0.00587311665041931","0.00587311665041931","21","21","21","0.0038172769095479015","0.0038172769095479015","0.0038172769095479015","21","21","21","0.006740325033812208","0.006740325033812208","0.006740325033812208","21","21","21","0.012322771287120301","0.012322771287120301","0.012322771287120301","21","21","21","0.006763875876054705","0.006763875876054705","0.006763875876054705","1000","1000","1000"
"1100","0.007676354789943919","0.007676354789943919","0.007676354789943919","22","22","22","0.0045283614318302025","0.0045283614318302025","0.0045283614318302025","22","22","22","0.006691167664139766","0.006691167664139766","0.006691167664139766","22","22","22","0.012878868027954913","0.012878868027954913","0.012878868027954913","22","22","22","0.006446780728734168","0.006446780728734168","0.006446780728734168","1050","1050","1050"
"1150","0.007097531851664725","0.007097531851664725","0.007097531851664725","23","23","23","0.003264435711441627","0.003264435711441627","0.003264435711441627","23","23","23","0.005419766292117158","0.005419766292117158","0.005419766292117158","23","23","23","0.011352231901956413","0.011352231901956413","0.011352231901956413","23","23","23","0.005386622762181996","0.005386622762181996","0.005386622762181996","1100","1100","1100"
"1200","0.007589953478464711","0.007589953478464711","0.007589953478464711","24","24","24","0.003635382431241676","0.003635382431241676","0.003635382431241676","24","24","24","0.006405009732335946","0.006405009732335946","0.006405009732335946","24","24","24","0.011624112774857491","0.011624112774857491","0.011624112774857491","24","24","24","0.0058396136595635015","0.0058396136595635015","0.0058396136595635015","1150","1150","1150"
"1250","0.006692287574200155","0.006692287574200155","0.006692287574200155","25","25","25","0.004067990338910952","0.004067990338910952","0.004067990338910952","25","25","25","0.005304425951580698","0.005304425951580698","0.005304425951580698","25","25","25","0.012061959685901645","0.012061959685901645","0.012061959685901645","25","25","25","0.006148710282678652","0.006148710282678652","0.006148710282678652","1200","1200","1200"
"1300","0.006723177192301261","0.006723177192301261","0.006723177192301261","26","26","26","0.0033852446056297403","0.0033852446056297403","0.0033852446056297403","26","26","26","0.006091738268353502","0.006091738268353502","0.006091738268353502","26","26","26","0.01174411583868366","0.01174411583868366","0.01174411583868366","26","26","26","0.0052785037834939055","0.0052785037834939055","0.0052785037834939055","1250","1250","1250"
"1350","0.0066767533116475625","0.0066767533116475625","0.0066767533116475625","27","27","27","0.003397463027216539","0.003397463027216539","0.003397463027216539","27","27","27","0.006114424213189563","0.006114424213189563","0.006114424213189563","27","27","27","0.011455163611088103","0.011455163611088103","0.011455163611088103","27","27","27","0.004852059400525706","0.004852059400525706","0.004852059400525706","1300","1300","1300"
"1400","0.006575925999937533","0.006575925999937533","0.006575925999937533","28","28","28","0.0024390718083927075","0.0024390718083927075","0.0024390718083927075","28","28","28","0.005485172707034024","0.005485172707034024","0.005485172707034024","28","28","28","0.01105871131570886","0.01105871131570886","0.01105871131570886","28","28","28","0.00485834744080833","0.00485834744080833","0.00485834744080833","1350","1350","1350"
"1450","0.007249475100138598","0.007249475100138598","0.007249475100138598","29","29","29","0.0026057766229757146","0.0026057766229757146","0.0026057766229757146","29","29","29","0.005415722709451076","0.005415722709451076","0.005415722709451076","29","29","29","0.01167578712291548","0.01167578712291548","0.01167578712291548","29","29","29","0.004530978425990272","0.004530978425990272","0.004530978425990272","1400","1400","1400"
"1500","0.006391964032534147","0.006391964032534147","0.006391964032534147","30","30","30","0.0028338410977208593","0.0028338410977208593","0.0028338410977208593","30","30","30","0.0049455985950877706","0.0049455985950877706","0.0049455985950877706","30","30","30","0.011068215734233645","0.011068215734233645","0.011068215734233645","30","30","30","0.005049288307427559","0.005049288307427559","0.005049288307427559","1450","1450","1450"
"1550","0.00671060514069781","0.00671060514069781","0.00671060514069781","31","31","31","0.0028636340776969985","0.0028636340776969985","0.0028636340776969985","31","31","31","0.0053832386361046605","0.0053832386361046605","0.0053832386361046605","31","31","31","0.011609639560593514","0.011609639560593514","0.011609639560593514","31","31","31","0.004408570726193597","0.004408570726193597","0.004408570726193597","1500","1500","1500"
"1600","0.007294309798372637","0.007294309798372637","0.007294309798372637","32","32","32","0.0029710323987177626","0.0029710323987177626","0.0029710323987177626","32","32","32","0.004112468562197827","0.004112468562197827","0.004112468562197827","32","32","32","0.011279491057558145","0.011279491057558145","0.011279491057558145","32","32","32","0.003645298121919156","0.003645298121919156","0.003645298121919156","1550","1550","1550"
"1650","0.005595781865123988","0.005595781865123988","0.005595781865123988","33","33","33","0.002514803335413176","0.002514803335413176","0.002514803335413176","33","33","33","0.00419418623409622","0.00419418623409622","0.00419418623409622","33","33","33","0.01018040917648681","0.01018040917648681","0.01018040917648681","33","33","33","0.004488428531404201","0.004488428531404201","0.004488428531404201","1600","1600","1600"
"1700","0.007264354146958282","0.007264354146958282","0.007264354146958282","34","34","34","0.002540687731496664","0.002540687731496664","0.002540687731496664","34","34","34","0.0041064509082655","0.0041064509082655","0.0041064509082655","34","34","34","0.010790476382286368","0.010790476382286368","0.010790476382286368","34","34","34","0.003937201642889194","0.003937201642889194","0.003937201642889194","1650","1650","1650"
