"iter","env1_muon - train/loss","env1_muon - train/loss__MIN","env1_muon - train/loss__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - train/loss","env1_lion - train/loss__MIN","env1_lion - train/loss__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - train/loss","env1_adam - train/loss__MIN","env1_adam - train/loss__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - train/loss"," env1_sgd - train/loss__MIN"," env1_sgd - train/loss__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - train/loss","env1_adamw - train/loss__MIN","env1_adamw - train/loss__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"0","11.17424201965332","11.17424201965332","11.17424201965332","0","0","0","11.17424201965332","11.17424201965332","11.17424201965332","0","0","0","11.17432975769043","11.17432975769043","11.17432975769043","0","0","0","11.17432975769043","11.17432975769043","11.17432975769043","0","0","0","11.17432975769043","11.17432975769043","11.17432975769043","0","0","0"
"250","","","","","","","","","","","","","","","","","","","","","","","","","6.264261722564697","6.264261722564697","6.264261722564697","200","200","200"
"500","6.179392337799072","6.179392337799072","6.179392337799072","10","10","10","6.531284332275391","6.531284332275391","6.531284332275391","10","10","10","5.608431816101074","5.608431816101074","5.608431816101074","10","10","10","7.637086391448975","7.637086391448975","7.637086391448975","10","10","10","5.676323890686035","5.676323890686035","5.676323890686035","450","450","450"
"750","","","","","","","","","","","","","","","","","","","","","","","","","5.614466667175293","5.614466667175293","5.614466667175293","700","700","700"
"1000","5.836328029632568","5.836328029632568","5.836328029632568","20","20","20","5.787758827209473","5.787758827209473","5.787758827209473","20","20","20","5.277763366699219","5.277763366699219","5.277763366699219","20","20","20","7.193960666656494","7.193960666656494","7.193960666656494","20","20","20","5.2693939208984375","5.2693939208984375","5.2693939208984375","950","950","950"
"1250","","","","","","","","","","","","","","","","","","","","","","","","","5.093451976776123","5.093451976776123","5.093451976776123","1200","1200","1200"
"1500","5.233134746551514","5.233134746551514","5.233134746551514","30","30","30","5.325714111328125","5.325714111328125","5.325714111328125","30","30","30","4.9653167724609375","4.9653167724609375","4.9653167724609375","30","30","30","7.009512424468994","7.009512424468994","7.009512424468994","30","30","30","4.944142818450928","4.944142818450928","4.944142818450928","1450","1450","1450"
"1750","","","","","","","","","","","","","","","","","","","","","","","","","4.9077959060668945","4.9077959060668945","4.9077959060668945","1700","1700","1700"
"2000","4.776465892791748","4.776465892791748","4.776465892791748","40","40","40","4.930347442626953","4.930347442626953","4.930347442626953","40","40","40","4.737954139709473","4.737954139709473","4.737954139709473","40","40","40","6.809386253356934","6.809386253356934","6.809386253356934","40","40","40","4.775750637054443","4.775750637054443","4.775750637054443","1950","1950","1950"
"2250","","","","","","","","","","","","","","","","","","","","","","","","","4.688016891479492","4.688016891479492","4.688016891479492","2200","2200","2200"
"2500","4.599941253662109","4.599941253662109","4.599941253662109","50","50","50","4.704893589019775","4.704893589019775","4.704893589019775","50","50","50","4.598455905914307","4.598455905914307","4.598455905914307","50","50","50","6.743680000305176","6.743680000305176","6.743680000305176","50","50","50","4.646969795227051","4.646969795227051","4.646969795227051","2450","2450","2450"
"2750","","","","","","","","","","","","","","","","","","","","","","","","","4.626089096069336","4.626089096069336","4.626089096069336","2700","2700","2700"
"3000","4.455061912536621","4.455061912536621","4.455061912536621","60","60","60","4.4573259353637695","4.4573259353637695","4.4573259353637695","60","60","60","4.46919584274292","4.46919584274292","4.46919584274292","60","60","60","6.6908860206604","6.6908860206604","6.6908860206604","60","60","60","4.548838138580322","4.548838138580322","4.548838138580322","2950","2950","2950"
"3250","","","","","","","","","","","","","","","","","","","","","","","","","4.546648979187012","4.546648979187012","4.546648979187012","3200","3200","3200"
"3500","4.411524772644043","4.411524772644043","4.411524772644043","70","70","70","4.362672328948975","4.362672328948975","4.362672328948975","70","70","70","4.449097633361816","4.449097633361816","4.449097633361816","70","70","70","6.57555627822876","6.57555627822876","6.57555627822876","70","70","70","4.394116401672363","4.394116401672363","4.394116401672363","3450","3450","3450"
"3750","","","","","","","","","","","","","","","","","","","","","","","","","4.444930553436279","4.444930553436279","4.444930553436279","3700","3700","3700"
"4000","4.296274662017822","4.296274662017822","4.296274662017822","80","80","80","4.238019943237305","4.238019943237305","4.238019943237305","80","80","80","4.5070037841796875","4.5070037841796875","4.5070037841796875","80","80","80","6.508558750152588","6.508558750152588","6.508558750152588","80","80","80","4.348830223083496","4.348830223083496","4.348830223083496","3950","3950","3950"
"4250","","","","","","","","","","","","","","","","","","","","","","","","","4.343939781188965","4.343939781188965","4.343939781188965","4200","4200","4200"
"4500","4.256350517272949","4.256350517272949","4.256350517272949","90","90","90","4.189566612243652","4.189566612243652","4.189566612243652","90","90","90","4.47595739364624","4.47595739364624","4.47595739364624","90","90","90","6.468227386474609","6.468227386474609","6.468227386474609","90","90","90","4.3131537437438965","4.3131537437438965","4.3131537437438965","4450","4450","4450"
