"iter","env1_muon - EMA/Loss","env1_muon - EMA/Loss__MIN","env1_muon - EMA/Loss__MAX","env1_muon - _step","env1_muon - _step__MIN","env1_muon - _step__MAX","env1_lion - EMA/Loss","env1_lion - EMA/Loss__MIN","env1_lion - EMA/Loss__MAX","env1_lion - _step","env1_lion - _step__MIN","env1_lion - _step__MAX","env1_adam - EMA/Loss","env1_adam - EMA/Loss__MIN","env1_adam - EMA/Loss__MAX","env1_adam - _step","env1_adam - _step__MIN","env1_adam - _step__MAX"," env1_sgd - EMA/Loss"," env1_sgd - EMA/Loss__MIN"," env1_sgd - EMA/Loss__MAX"," env1_sgd - _step"," env1_sgd - _step__MIN"," env1_sgd - _step__MAX","env1_adamw - EMA/Loss","env1_adamw - EMA/Loss__MIN","env1_adamw - EMA/Loss__MAX","env1_adamw - _step","env1_adamw - _step__MIN","env1_adamw - _step__MAX"
"0","11.17671012878418","11.17671012878418","11.17671012878418","0","0","0","11.17671012878418","11.17671012878418","11.17671012878418","0","0","0","11.177045822143555","11.177045822143555","11.177045822143555","0","0","0","11.177045822143555","11.177045822143555","11.177045822143555","0","0","0","","","","","",""
"50","1.3255819566358809","1.3255819566358809","1.3255819566358809","1","1","1","1.6302979196644287","1.6302979196644287","1.6302979196644287","1","1","1","1.4566828832566125","1.4566828832566125","1.4566828832566125","1","1","1","1.617724414754016","1.617724414754016","1.617724414754016","1","1","1","","","","","",""
"100","1.1906132548426442","1.1906132548426442","1.1906132548426442","2","2","2","1.4433008734143935","1.4433008734143935","1.4433008734143935","2","2","2","1.1794173934831624","1.1794173934831624","1.1794173934831624","2","2","2","1.397746321968459","1.397746321968459","1.397746321968459","2","2","2","1.4566569931674458","1.4566569931674458","1.4566569931674458","50","50","50"
"150","1.1371108140343842","1.1371108140343842","1.1371108140343842","3","3","3","1.3570823222155237","1.3570823222155237","1.3570823222155237","3","3","3","1.0736748901127307","1.0736748901127307","1.0736748901127307","3","3","3","1.345300055671026","1.345300055671026","1.345300055671026","3","3","3","1.1794483649378886","1.1794483649378886","1.1794483649378886","100","100","100"
"200","1.0735881145941693","1.0735881145941693","1.0735881145941693","4","4","4","1.2539366506791993","1.2539366506791993","1.2539366506791993","4","4","4","0.9900756039468066","0.9900756039468066","0.9900756039468066","4","4","4","1.286868813059427","1.286868813059427","1.286868813059427","4","4","4","1.073649009255956","1.073649009255956","1.073649009255956","150","150","150"
"250","1.0617048228458759","1.0617048228458759","1.0617048228458759","5","5","5","1.1799752706912163","1.1799752706912163","1.1799752706912163","5","5","5","0.9695744665601667","0.9695744665601667","0.9695744665601667","5","5","5","1.2593160622150383","1.2593160622150383","1.2593160622150383","5","5","5","0.9901058166983487","0.9901058166983487","0.9901058166983487","200","200","200"
"300","1.0319087617581908","1.0319087617581908","1.0319087617581908","6","6","6","1.1314765374551976","1.1314765374551976","1.1314765374551976","6","6","6","0.9389074294436738","0.9389074294436738","0.9389074294436738","6","6","6","1.2415948222381907","1.2415948222381907","1.2415948222381907","6","6","6","0.978769272489242","0.978769272489242","0.978769272489242","250","250","250"
"350","1.0110523497882626","1.0110523497882626","1.0110523497882626","7","7","7","1.1033056896572024","1.1033056896572024","1.1033056896572024","7","7","7","0.9238959158864215","0.9238959158864215","0.9238959158864215","7","7","7","1.2196686417182017","1.2196686417182017","1.2196686417182017","7","7","7","0.9312974409684719","0.9312974409684719","0.9312974409684719","300","300","300"
"400","0.9582411186987059","0.9582411186987059","0.9582411186987059","8","8","8","1.04876309085429","1.04876309085429","1.04876309085429","8","8","8","0.8711723027001359","0.8711723027001359","0.8711723027001359","8","8","8","1.185157244633678","1.185157244633678","1.185157244633678","8","8","8","0.9275380909572488","0.9275380909572488","0.9275380909572488","350","350","350"
"450","0.9752735267661853","0.9752735267661853","0.9752735267661853","9","9","9","1.042326291894514","1.042326291894514","1.042326291894514","9","9","9","0.8865269213156035","0.8865269213156035","0.8865269213156035","9","9","9","1.187039260232562","1.187039260232562","1.187039260232562","9","9","9","0.8943541264160344","0.8943541264160344","0.8943541264160344","400","400","400"
"500","0.956964632955542","0.956964632955542","0.956964632955542","10","10","10","1.0114137158114918","1.0114137158114918","1.0114137158114918","10","10","10","0.8659561906256452","0.8659561906256452","0.8659561906256452","10","10","10","1.1719663089637296","1.1719663089637296","1.1719663089637296","10","10","10","0.8701812495227296","0.8701812495227296","0.8701812495227296","450","450","450"
"550","0.9451536989480851","0.9451536989480851","0.9451536989480851","11","11","11","0.9908517960732575","0.9908517960732575","0.9908517960732575","11","11","11","0.8561053570165993","0.8561053570165993","0.8561053570165993","11","11","11","1.1588967608272829","1.1588967608272829","1.1588967608272829","11","11","11","0.8600764869623055","0.8600764869623055","0.8600764869623055","500","500","500"
"600","0.9327621120983243","0.9327621120983243","0.9327621120983243","12","12","12","0.9753289736955355","0.9753289736955355","0.9753289736955355","12","12","12","0.8460713725669795","0.8460713725669795","0.8460713725669795","12","12","12","1.151313801107304","1.151313801107304","1.151313801107304","12","12","12","0.8540797241417672","0.8540797241417672","0.8540797241417672","550","550","550"
"650","0.9123191603197498","0.9123191603197498","0.9123191603197498","13","13","13","0.9601984658741274","0.9601984658741274","0.9601984658741274","13","13","13","0.8250802360153373","0.8250802360153373","0.8250802360153373","13","13","13","1.138743864653401","1.138743864653401","1.138743864653401","13","13","13","0.8511238455898623","0.8511238455898623","0.8511238455898623","600","600","600"
"700","0.8907793175931112","0.8907793175931112","0.8907793175931112","14","14","14","0.9326193000378864","0.9326193000378864","0.9326193000378864","14","14","14","0.8060697294545698","0.8060697294545698","0.8060697294545698","14","14","14","1.1200958223906363","1.1200958223906363","1.1200958223906363","14","14","14","0.832906785489449","0.832906785489449","0.832906785489449","650","650","650"
"750","0.916657913425174","0.916657913425174","0.916657913425174","15","15","15","0.9570264011115052","0.9570264011115052","0.9570264011115052","15","15","15","0.8293023555649807","0.8293023555649807","0.8293023555649807","15","15","15","1.1490556797856546","1.1490556797856546","1.1490556797856546","15","15","15","0.8193171324085892","0.8193171324085892","0.8193171324085892","700","700","700"
"800","0.9013057593488026","0.9013057593488026","0.9013057593488026","16","16","16","0.9358425598841502","0.9358425598841502","0.9358425598841502","16","16","16","0.8160498265577547","0.8160498265577547","0.8160498265577547","16","16","16","1.1254420862557741","1.1254420862557741","1.1254420862557741","16","16","16","0.811393243358792","0.811393243358792","0.811393243358792","750","750","750"
"850","0.8783876383566314","0.8783876383566314","0.8783876383566314","17","17","17","0.9120250848068816","0.9120250848068816","0.9120250848068816","17","17","17","0.7999892133031825","0.7999892133031825","0.7999892133031825","17","17","17","1.1138985314685714","1.1138985314685714","1.1138985314685714","17","17","17","0.7984082517029131","0.7984082517029131","0.7984082517029131","800","800","800"
"900","0.8760680538822689","0.8760680538822689","0.8760680538822689","18","18","18","0.9069612389040792","0.9069612389040792","0.9069612389040792","18","18","18","0.8067587744327208","0.8067587744327208","0.8067587744327208","18","18","18","1.105292386315712","1.105292386315712","1.105292386315712","18","18","18","0.8033427020021544","0.8033427020021544","0.8033427020021544","850","850","850"
"950","0.8832714298983257","0.8832714298983257","0.8832714298983257","19","19","19","0.9102890617417476","0.9102890617417476","0.9102890617417476","19","19","19","0.8118458055804856","0.8118458055804856","0.8118458055804856","19","19","19","1.1156493886075725","1.1156493886075725","1.1156493886075725","19","19","19","0.7833193494366528","0.7833193494366528","0.7833193494366528","900","900","900"
"1000","0.8642652408520748","0.8642652408520748","0.8642652408520748","20","20","20","0.8878225365920587","0.8878225365920587","0.8878225365920587","20","20","20","0.7888154046706756","0.7888154046706756","0.7888154046706756","20","20","20","1.0983815194350337","1.0983815194350337","1.0983815194350337","20","20","20","0.8072835106305898","0.8072835106305898","0.8072835106305898","950","950","950"
"1050","0.8800553228374253","0.8800553228374253","0.8800553228374253","21","21","21","0.8943143822242536","0.8943143822242536","0.8943143822242536","21","21","21","0.7949042754568824","0.7949042754568824","0.7949042754568824","21","21","21","1.1118915488531425","1.1118915488531425","1.1118915488531425","21","21","21","0.7819797386393711","0.7819797386393711","0.7819797386393711","1000","1000","1000"
"1100","0.8386137548999271","0.8386137548999271","0.8386137548999271","22","22","22","0.8562270470647182","0.8562270470647182","0.8562270470647182","22","22","22","0.7659525330580614","0.7659525330580614","0.7659525330580614","22","22","22","1.0718602651335694","1.0718602651335694","1.0718602651335694","22","22","22","0.7766093200171884","0.7766093200171884","0.7766093200171884","1050","1050","1050"
"1150","0.869898144845713","0.869898144845713","0.869898144845713","23","23","23","0.8812652841361466","0.8812652841361466","0.8812652841361466","23","23","23","0.7887363897371591","0.7887363897371591","0.7887363897371591","23","23","23","1.1137146812098835","1.1137146812098835","1.1137146812098835","23","23","23","0.7836917725062826","0.7836917725062826","0.7836917725062826","1100","1100","1100"
"1200","0.8428468660837561","0.8428468660837561","0.8428468660837561","24","24","24","0.8555882256849363","0.8555882256849363","0.8555882256849363","24","24","24","0.7700758230496408","0.7700758230496408","0.7700758230496408","24","24","24","1.0900721021296853","1.0900721021296853","1.0900721021296853","24","24","24","0.7713327749335892","0.7713327749335892","0.7713327749335892","1150","1150","1150"
"1250","0.8257028887041522","0.8257028887041522","0.8257028887041522","25","25","25","0.8409060003835314","0.8409060003835314","0.8409060003835314","25","25","25","0.7578218577435272","0.7578218577435272","0.7578218577435272","25","25","25","1.0748871670515128","1.0748871670515128","1.0748871670515128","25","25","25","0.7841515734962191","0.7841515734962191","0.7841515734962191","1200","1200","1200"
"1300","0.831351386401382","0.831351386401382","0.831351386401382","26","26","26","0.8456724287078183","0.8456724287078183","0.8456724287078183","26","26","26","0.7639941433025708","0.7639941433025708","0.7639941433025708","26","26","26","1.0801256792368692","1.0801256792368692","1.0801256792368692","26","26","26","0.7535238554389665","0.7535238554389665","0.7535238554389665","1250","1250","1250"
"1350","0.8145238606626966","0.8145238606626966","0.8145238606626966","27","27","27","0.8258241630835763","0.8258241630835763","0.8258241630835763","27","27","27","0.7554255043005467","0.7554255043005467","0.7554255043005467","27","27","27","1.0639036806565496","1.0639036806565496","1.0639036806565496","27","27","27","0.759118228205417","0.759118228205417","0.759118228205417","1300","1300","1300"
"1400","0.8148430145079404","0.8148430145079404","0.8148430145079404","28","28","28","0.8314995594494063","0.8314995594494063","0.8314995594494063","28","28","28","0.7592324597997278","0.7592324597997278","0.7592324597997278","28","28","28","1.0706327089739442","1.0706327089739442","1.0706327089739442","28","28","28","0.7463582011077103","0.7463582011077103","0.7463582011077103","1350","1350","1350"
"1450","0.8220630118839802","0.8220630118839802","0.8220630118839802","29","29","29","0.8352204335108241","0.8352204335108241","0.8352204335108241","29","29","29","0.7646103688355732","0.7646103688355732","0.7646103688355732","29","29","29","1.081994412963156","1.081994412963156","1.081994412963156","29","29","29","0.7489349177362138","0.7489349177362138","0.7489349177362138","1400","1400","1400"
"1500","0.7822004820520347","0.7822004820520347","0.7822004820520347","30","30","30","0.8004112516936008","0.8004112516936008","0.8004112516936008","30","30","30","0.7338959312837684","0.7338959312837684","0.7338959312837684","30","30","30","1.0523229734896118","1.0523229734896118","1.0523229734896118","30","30","30","0.7528576089027249","0.7528576089027249","0.7528576089027249","1450","1450","1450"
"1550","0.7923429874745749","0.7923429874745749","0.7923429874745749","31","31","31","0.8154316866369999","0.8154316866369999","0.8154316866369999","31","31","31","0.7514715501532627","0.7514715501532627","0.7514715501532627","31","31","31","1.0710734136751843","1.0710734136751843","1.0710734136751843","31","31","31","0.7383747486392016","0.7383747486392016","0.7383747486392016","1500","1500","1500"
"1600","0.774454597524157","0.774454597524157","0.774454597524157","32","32","32","0.7944355240352539","0.7944355240352539","0.7944355240352539","32","32","32","0.7312719532972971","0.7312719532972971","0.7312719532972971","32","32","32","1.0533007712429467","1.0533007712429467","1.0533007712429467","32","32","32","0.7408102041204492","0.7408102041204492","0.7408102041204492","1550","1550","1550"
"1650","0.78194729242219","0.78194729242219","0.78194729242219","33","33","33","0.8093749850831471","0.8093749850831471","0.8093749850831471","33","33","33","0.7528323120790288","0.7528323120790288","0.7528323120790288","33","33","33","1.0806347864031214","1.0806347864031214","1.0806347864031214","33","33","33","0.7397350233993389","0.7397350233993389","0.7397350233993389","1600","1600","1600"
"1700","0.7551768186653061","0.7551768186653061","0.7551768186653061","34","34","34","0.7819228898779647","0.7819228898779647","0.7819228898779647","34","34","34","0.7210290125666512","0.7210290125666512","0.7210290125666512","34","34","34","1.0518609413610394","1.0518609413610394","1.0518609413610394","34","34","34","0.7214023470132171","0.7214023470132171","0.7214023470132171","1650","1650","1650"
"1750","0.7610193373655357","0.7610193373655357","0.7610193373655357","35","35","35","0.7878160271706875","0.7878160271706875","0.7878160271706875","35","35","35","0.7343469924720272","0.7343469924720272","0.7343469924720272","35","35","35","1.0530694942727594","1.0530694942727594","1.0530694942727594","35","35","35","0.7350058355308113","0.7350058355308113","0.7350058355308113","1700","1700","1700"
"1800","0.7464572595634695","0.7464572595634695","0.7464572595634695","36","36","36","0.7807669476139646","0.7807669476139646","0.7807669476139646","36","36","36","0.7291522882582113","0.7291522882582113","0.7291522882582113","36","36","36","1.0593408540032294","1.0593408540032294","1.0593408540032294","36","36","36","0.7253748373192335","0.7253748373192335","0.7253748373192335","1750","1750","1750"
"1850","0.7579253665373952","0.7579253665373952","0.7579253665373952","37","37","37","0.7788648144354241","0.7788648144354241","0.7788648144354241","37","37","37","0.730488490006586","0.730488490006586","0.730488490006586","37","37","37","1.0531623498696472","1.0531623498696472","1.0531623498696472","37","37","37","0.7374221611087616","0.7374221611087616","0.7374221611087616","1800","1800","1800"
"1900","0.758468421270844","0.758468421270844","0.758468421270844","38","38","38","0.7899873200988856","0.7899873200988856","0.7899873200988856","38","38","38","0.7425462634620429","0.7425462634620429","0.7425462634620429","38","38","38","1.0697384813399018","1.0697384813399018","1.0697384813399018","38","38","38","0.7294527271743604","0.7294527271743604","0.7294527271743604","1850","1850","1850"
"1950","0.7308400116373268","0.7308400116373268","0.7308400116373268","39","39","39","0.7533337596916649","0.7533337596916649","0.7533337596916649","39","39","39","0.7071768151756576","0.7071768151756576","0.7071768151756576","39","39","39","1.0486186430006086","1.0486186430006086","1.0486186430006086","39","39","39","0.7118489878854106","0.7118489878854106","0.7118489878854106","1900","1900","1900"
"2000","0.7103472904867346","0.7103472904867346","0.7103472904867346","40","40","40","0.734578412264036","0.734578412264036","0.734578412264036","40","40","40","0.6909705850114178","0.6909705850114178","0.6909705850114178","40","40","40","1.0185559100999173","1.0185559100999173","1.0185559100999173","40","40","40","0.7145050970771897","0.7145050970771897","0.7145050970771897","1950","1950","1950"
"2050","0.7321220615321602","0.7321220615321602","0.7321220615321602","41","41","41","0.7535266867172405","0.7535266867172405","0.7535266867172405","41","41","41","0.7150738670963509","0.7150738670963509","0.7150738670963509","41","41","41","1.0441180036144395","1.0441180036144395","1.0441180036144395","41","41","41","0.6995132600125311","0.6995132600125311","0.6995132600125311","2000","2000","2000"
"2100","0.7205449485178399","0.7205449485178399","0.7205449485178399","42","42","42","0.7440503194204784","0.7440503194204784","0.7440503194204784","42","42","42","0.7079296357246416","0.7079296357246416","0.7079296357246416","42","42","42","1.0365726766183019","1.0365726766183019","1.0365726766183019","42","42","42","0.7234215021152097","0.7234215021152097","0.7234215021152097","2050","2050","2050"
"2150","0.7294416427280455","0.7294416427280455","0.7294416427280455","43","43","43","0.7449879621804565","0.7449879621804565","0.7449879621804565","43","43","43","0.7128004423495651","0.7128004423495651","0.7128004423495651","43","43","43","1.0275103111359498","1.0275103111359498","1.0275103111359498","43","43","43","0.7163797529745438","0.7163797529745438","0.7163797529745438","2100","2100","2100"
"2200","0.7280593642875578","0.7280593642875578","0.7280593642875578","44","44","44","0.7525882395346671","0.7525882395346671","0.7525882395346671","44","44","44","0.7160844591018074","0.7160844591018074","0.7160844591018074","44","44","44","1.052336109345361","1.052336109345361","1.052336109345361","44","44","44","0.7123634111605983","0.7123634111605983","0.7123634111605983","2150","2150","2150"
