"iter","env2_sgd_2500-3000 - EMA/CV","env2_sgd_2500-3000 - EMA/CV__MIN","env2_sgd_2500-3000 - EMA/CV__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/CV","env2_lion_shock_2500-3000 - EMA/CV__MIN","env2_lion_shock_2500-3000 - EMA/CV__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/CV","env2_muon_shock_2500-3000 - EMA/CV__MIN","env2_muon_shock_2500-3000 - EMA/CV__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/CV","env2_adamw_shock_2500-3000 - EMA/CV__MIN","env2_adamw_shock_2500-3000 - EMA/CV__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"0","0.9556167721748352","0.9556167721748352","0.9556167721748352","0","0","0","0.9556167721748352","0.9556167721748352","0.9556167721748352","0","0","0","0.9556167721748352","0.9556167721748352","0.9556167721748352","0","0","0","0.9556167721748352","0.9556167721748352","0.9556167721748352","0","0","0"
"50","0.4658596117506594","0.4658596117506594","0.4658596117506594","1","1","1","0.6425015407204304","0.6425015407204304","0.6425015407204304","1","1","1","0.5667265682930095","0.5667265682930095","0.5667265682930095","1","1","1","0.8608366555165656","0.8608366555165656","0.8608366555165656","1","1","1"
"100","0.17918571169763153","0.17918571169763153","0.17918571169763153","2","2","2","0.5068016442957948","0.5068016442957948","0.5068016442957948","2","2","2","0.46245980059165726","0.46245980059165726","0.46245980059165726","2","2","2","0.8188030321472122","0.8188030321472122","0.8188030321472122","2","2","2"
"150","0.1647714724077632","0.1647714724077632","0.1647714724077632","3","3","3","0.4049097676511364","0.4049097676511364","0.4049097676511364","3","3","3","0.47155745380959035","0.47155745380959035","0.47155745380959035","3","3","3","0.7534820832199572","0.7534820832199572","0.7534820832199572","3","3","3"
"200","0.20012743355042092","0.20012743355042092","0.20012743355042092","4","4","4","0.3398045877463612","0.3398045877463612","0.3398045877463612","4","4","4","0.43492951076145264","0.43492951076145264","0.43492951076145264","4","4","4","0.7539652398974609","0.7539652398974609","0.7539652398974609","4","4","4"
"250","0.2256254538306453","0.2256254538306453","0.2256254538306453","5","5","5","0.3462946718099162","0.3462946718099162","0.3462946718099162","5","5","5","0.42136466552071283","0.42136466552071283","0.42136466552071283","5","5","5","0.747577011138825","0.747577011138825","0.747577011138825","5","5","5"
"300","0.21135938754353686","0.21135938754353686","0.21135938754353686","6","6","6","0.35815356002141596","0.35815356002141596","0.35815356002141596","6","6","6","0.40093034989178616","0.40093034989178616","0.40093034989178616","6","6","6","0.7414000952303924","0.7414000952303924","0.7414000952303924","6","6","6"
"350","0.20528130965392616","0.20528130965392616","0.20528130965392616","7","7","7","0.3511149365750741","0.3511149365750741","0.3511149365750741","7","7","7","0.40237191800645256","0.40237191800645256","0.40237191800645256","7","7","7","0.7292475542616351","0.7292475542616351","0.7292475542616351","7","7","7"
"400","0.22609413582176488","0.22609413582176488","0.22609413582176488","8","8","8","0.34209511512403035","0.34209511512403035","0.34209511512403035","8","8","8","0.3732639438413666","0.3732639438413666","0.3732639438413666","8","8","8","0.7223993453671599","0.7223993453671599","0.7223993453671599","8","8","8"
"450","0.22620305978118949","0.22620305978118949","0.22620305978118949","9","9","9","0.33429771577951745","0.33429771577951745","0.33429771577951745","9","9","9","0.38831661171068294","0.38831661171068294","0.38831661171068294","9","9","9","0.724203595020061","0.724203595020061","0.724203595020061","9","9","9"
