"iter","env2_sgd_2500-3000 - EMA/dropped_tokens","env2_sgd_2500-3000 - EMA/dropped_tokens__MIN","env2_sgd_2500-3000 - EMA/dropped_tokens__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/dropped_tokens","env2_lion_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_lion_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/dropped_tokens","env2_muon_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_muon_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/dropped_tokens","env2_adamw_shock_2500-3000 - EMA/dropped_tokens__MIN","env2_adamw_shock_2500-3000 - EMA/dropped_tokens__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"0","25220","25220","25220","0","0","0","25220","25220","25220","0","0","0","25220","25220","25220","0","0","0","25220","25220","25220","0","0","0"
"50","683.5782107286134","683.5782107286134","683.5782107286134","1","1","1","1901.4782107286135","1901.4782107286135","1901.4782107286135","1","1","1","897.2782107286134","897.2782107286134","897.2782107286134","1","1","1","2479.078210728613","2479.078210728613","2479.078210728613","1","1","1"
"100","176.7230084347174","176.7230084347174","176.7230084347174","2","2","2","208.69979125971255","208.69979125971255","208.69979125971255","2","2","2","437.0243701965217","437.0243701965217","437.0243701965217","2","2","2","1336.3766118194608","1336.3766118194608","1336.3766118194608","2","2","2"
"150","179.71079065943388","179.71079065943388","179.71079065943388","3","3","3","156.7755918099672","156.7755918099672","156.7755918099672","3","3","3","402.0523253641135","402.0523253641135","402.0523253641135","3","3","3","1199.8873846496376","1199.8873846496376","1199.8873846496376","3","3","3"
"200","186.3261890173885","186.3261890173885","186.3261890173885","4","4","4","58.40798615818315","58.40798615818315","58.40798615818315","4","4","4","475.67208730650697","475.67208730650697","475.67208730650697","4","4","4","838.7839498545835","838.7839498545835","838.7839498545835","4","4","4"
"250","205.1602832934323","205.1602832934323","205.1602832934323","5","5","5","139.10102163097156","139.10102163097156","139.10102163097156","5","5","5","58.551507010374486","58.551507010374486","58.551507010374486","5","5","5","720.5229039250586","720.5229039250586","720.5229039250586","5","5","5"
"300","183.45734998156448","183.45734998156448","183.45734998156448","6","6","6","161.5168953965946","161.5168953965946","161.5168953965946","6","6","6","158.7017613051813","158.7017613051813","158.7017613051813","6","6","6","793.7134130785553","793.7134130785553","793.7134130785553","6","6","6"
"350","298.9454979419356","298.9454979419356","298.9454979419356","7","7","7","7.132421771058287","7.132421771058287","7.132421771058287","7","7","7","59.617913202772684","59.617913202772684","59.617913202772684","7","7","7","577.6906205100418","577.6906205100418","577.6906205100418","7","7","7"
"400","147.84069789563313","147.84069789563313","147.84069789563313","8","8","8","49.03675889849183","49.03675889849183","49.03675889849183","8","8","8","54.80725732297661","54.80725732297661","54.80725732297661","8","8","8","610.177287597486","610.177287597486","610.177287597486","8","8","8"
"450","117.76193772344742","117.76193772344742","117.76193772344742","9","9","9","0.2527244322583816","0.2527244322583816","0.2527244322583816","9","9","9","93.48246428397238","93.48246428397238","93.48246428397238","9","9","9","501.5447165768898","501.5447165768898","501.5447165768898","9","9","9"
"500","126.60691855500508","126.60691855500508","126.60691855500508","10","10","10","20.20130248491326","20.20130248491326","20.20130248491326","10","10","10","87.08178760674593","87.08178760674593","87.08178760674593","10","10","10","417.88484872565635","417.88484872565635","417.88484872565635","10","10","10"
"550","164.552503597924","164.552503597924","164.552503597924","11","11","11","0.10411297190232029","0.10411297190232029","0.10411297190232029","11","11","11","71.64879995797676","71.64879995797676","71.64879995797676","11","11","11","364.35368457287706","364.35368457287706","364.35368457287706","11","11","11"
"600","287.4480666133455","287.4480666133455","287.4480666133455","12","12","12","134.90053657485336","134.90053657485336","134.90053657485336","12","12","12","77.26926180885766","77.26926180885766","77.26926180885766","12","12","12","430.6777969862474","430.6777969862474","430.6777969862474","12","12","12"
"650","208.48144271910397","208.48144271910397","208.48144271910397","13","13","13","0.6952470408536604","0.6952470408536604","0.6952470408536604","13","13","13","23.898228405798417","23.898228405798417","23.898228405798417","13","13","13","152.61961655245096","152.61961655245096","152.61961655245096","13","13","13"
"700","152.67446649067205","152.67446649067205","152.67446649067205","14","14","14","51.20358314696212","51.20358314696212","51.20358314696212","14","14","14","16.72316609705668","16.72316609705668","16.72316609705668","14","14","14","140.08656719593873","140.08656719593873","140.08656719593873","14","14","14"
"750","244.48684988019048","244.48684988019048","244.48684988019048","15","15","15","12.263891757348768","12.263891757348768","12.263891757348768","15","15","15","29.78618743881891","29.78618743881891","29.78618743881891","15","15","15","153.12197467689302","153.12197467689302","153.12197467689302","15","15","15"
"800","260.7600302654283","260.7600302654283","260.7600302654283","16","16","16","2.6632053412842818","2.6632053412842818","2.6632053412842818","16","16","16","48.353511314342775","48.353511314342775","48.353511314342775","16","16","16","147.68915623678566","147.68915623678566","147.68915623678566","16","16","16"
"850","231.14389857904203","231.14389857904203","231.14389857904203","17","17","17","5.013725561659913","5.013725561659913","5.013725561659913","17","17","17","7.449203127798733","7.449203127798733","7.449203127798733","17","17","17","147.26115671180318","147.26115671180318","147.26115671180318","17","17","17"
"900","222.89126369382","222.89126369382","222.89126369382","18","18","18","76.125839614496","76.125839614496","76.125839614496","18","18","18","69.63839151839434","69.63839151839434","69.63839151839434","18","18","18","399.4589508984626","399.4589508984626","399.4589508984626","18","18","18"
"950","126.54873146875347","126.54873146875347","126.54873146875347","19","19","19","0.39233546484161747","0.39233546484161747","0.39233546484161747","19","19","19","2.9589006156851525","2.9589006156851525","2.9589006156851525","19","19","19","94.85872163748262","94.85872163748262","94.85872163748262","19","19","19"
