"iter","env2_sgd_2500-3000 - EMA/Grad_Norm","env2_sgd_2500-3000 - EMA/Grad_Norm__MIN","env2_sgd_2500-3000 - EMA/Grad_Norm__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/Grad_Norm","env2_lion_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_lion_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/Grad_Norm","env2_muon_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_muon_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/Grad_Norm","env2_adamw_shock_2500-3000 - EMA/Grad_Norm__MIN","env2_adamw_shock_2500-3000 - EMA/Grad_Norm__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"0","16.189117431640625","16.189117431640625","16.189117431640625","0","0","0","16.189109802246094","16.189109802246094","16.189109802246094","0","0","0","16.189138412475586","16.189138412475586","16.189138412475586","0","0","0","16.1890811920166","16.1890811920166","16.1890811920166","0","0","0"
"50","1.2631663713616834","1.2631663713616834","1.2631663713616834","1","1","1","1.030778689467674","1.030778689467674","1.030778689467674","1","1","1","0.7416281355974573","0.7416281355974573","0.7416281355974573","1","1","1","0.36810799812264505","0.36810799812264505","0.36810799812264505","1","1","1"
"100","1.8082932137964707","1.8082932137964707","1.8082932137964707","2","2","2","0.5955996801184524","0.5955996801184524","0.5955996801184524","2","2","2","0.41919649066097453","0.41919649066097453","0.41919649066097453","2","2","2","0.3826212235253333","0.3826212235253333","0.3826212235253333","2","2","2"
"150","1.8685250949555874","1.8685250949555874","1.8685250949555874","3","3","3","0.5009871903289893","0.5009871903289893","0.5009871903289893","3","3","3","0.39175497110716173","0.39175497110716173","0.39175497110716173","3","3","3","0.36272283502809144","0.36272283502809144","0.36272283502809144","3","3","3"
"200","1.3575389734621632","1.3575389734621632","1.3575389734621632","4","4","4","0.4941099200738353","0.4941099200738353","0.4941099200738353","4","4","4","0.41189533579817594","0.41189533579817594","0.41189533579817594","4","4","4","0.3859708349543736","0.3859708349543736","0.3859708349543736","4","4","4"
"250","1.4425363118560282","1.4425363118560282","1.4425363118560282","5","5","5","0.3994208285838745","0.3994208285838745","0.3994208285838745","5","5","5","0.43559047283703256","0.43559047283703256","0.43559047283703256","5","5","5","0.3920190015156604","0.3920190015156604","0.3920190015156604","5","5","5"
"300","1.5337098892659937","1.5337098892659937","1.5337098892659937","6","6","6","0.3700958321166167","0.3700958321166167","0.3700958321166167","6","6","6","0.466238681460145","0.466238681460145","0.466238681460145","6","6","6","0.4171075103176647","0.4171075103176647","0.4171075103176647","6","6","6"
"350","1.4949193322179828","1.4949193322179828","1.4949193322179828","7","7","7","0.36389677444037777","0.36389677444037777","0.36389677444037777","7","7","7","0.46152598908513115","0.46152598908513115","0.46152598908513115","7","7","7","0.40914470089520694","0.40914470089520694","0.40914470089520694","7","7","7"
"400","1.6411389041575268","1.6411389041575268","1.6411389041575268","8","8","8","0.3594129157162018","0.3594129157162018","0.3594129157162018","8","8","8","0.4977894886861403","0.4977894886861403","0.4977894886861403","8","8","8","0.43869909736305873","0.43869909736305873","0.43869909736305873","8","8","8"
"450","1.436199283010229","1.436199283010229","1.436199283010229","9","9","9","0.3874978792837737","0.3874978792837737","0.3874978792837737","9","9","9","0.47531246927224946","0.47531246927224946","0.47531246927224946","9","9","9","0.421739504373839","0.421739504373839","0.421739504373839","9","9","9"
"500","1.4859264219120538","1.4859264219120538","1.4859264219120538","10","10","10","0.3897878524481786","0.3897878524481786","0.3897878524481786","10","10","10","0.518476244067055","0.518476244067055","0.518476244067055","10","10","10","0.4167653786721535","0.4167653786721535","0.4167653786721535","10","10","10"
"550","1.2912583140048637","1.2912583140048637","1.2912583140048637","11","11","11","0.3731934414973848","0.3731934414973848","0.3731934414973848","11","11","11","0.5078511104300288","0.5078511104300288","0.5078511104300288","11","11","11","0.40656007395934757","0.40656007395934757","0.40656007395934757","11","11","11"
"600","1.4124086444397368","1.4124086444397368","1.4124086444397368","12","12","12","0.37849657571102135","0.37849657571102135","0.37849657571102135","12","12","12","0.5375452259307245","0.5375452259307245","0.5375452259307245","12","12","12","0.41122304757641304","0.41122304757641304","0.41122304757641304","12","12","12"
"650","1.2787162924925755","1.2787162924925755","1.2787162924925755","13","13","13","0.38911575441378216","0.38911575441378216","0.38911575441378216","13","13","13","0.5153195130815819","0.5153195130815819","0.5153195130815819","13","13","13","0.3971161870148651","0.3971161870148651","0.3971161870148651","13","13","13"
"700","1.2762281343021404","1.2762281343021404","1.2762281343021404","14","14","14","0.39415901608026455","0.39415901608026455","0.39415901608026455","14","14","14","0.5568446457610183","0.5568446457610183","0.5568446457610183","14","14","14","0.3931055658787599","0.3931055658787599","0.3931055658787599","14","14","14"
"750","1.928836561835281","1.928836561835281","1.928836561835281","15","15","15","0.39378765511852026","0.39378765511852026","0.39378765511852026","15","15","15","0.5386116953954314","0.5386116953954314","0.5386116953954314","15","15","15","0.41086045595137843","0.41086045595137843","0.41086045595137843","15","15","15"
"800","1.414057789671533","1.414057789671533","1.414057789671533","16","16","16","0.3893842709575347","0.3893842709575347","0.3893842709575347","16","16","16","0.5247445408789454","0.5247445408789454","0.5247445408789454","16","16","16","0.4254210786056751","0.4254210786056751","0.4254210786056751","16","16","16"
"850","1.4735388107993503","1.4735388107993503","1.4735388107993503","17","17","17","0.39879951567401445","0.39879951567401445","0.39879951567401445","17","17","17","0.5031944505156505","0.5031944505156505","0.5031944505156505","17","17","17","0.4069565092077135","0.4069565092077135","0.4069565092077135","17","17","17"
"900","1.4480358735004935","1.4480358735004935","1.4480358735004935","18","18","18","0.3939975553612459","0.3939975553612459","0.3939975553612459","18","18","18","0.5112478603242141","0.5112478603242141","0.5112478603242141","18","18","18","0.38592742377318046","0.38592742377318046","0.38592742377318046","18","18","18"
"950","1.7729093807503977","1.7729093807503977","1.7729093807503977","19","19","19","0.40933002533611157","0.40933002533611157","0.40933002533611157","19","19","19","0.4956972113307436","0.4956972113307436","0.4956972113307436","19","19","19","0.3902129163093325","0.3902129163093325","0.3902129163093325","19","19","19"
"1000","1.5056162713039587","1.5056162713039587","1.5056162713039587","20","20","20","0.417929345171537","0.417929345171537","0.417929345171537","20","20","20","0.4791604972918784","0.4791604972918784","0.4791604972918784","20","20","20","0.3803443848083309","0.3803443848083309","0.3803443848083309","20","20","20"
"1050","1.3114421124321998","1.3114421124321998","1.3114421124321998","21","21","21","0.4152275464047283","0.4152275464047283","0.4152275464047283","21","21","21","0.46603400297140657","0.46603400297140657","0.46603400297140657","21","21","21","0.36699831925535237","0.36699831925535237","0.36699831925535237","21","21","21"
"1100","1.9125871907259435","1.9125871907259435","1.9125871907259435","22","22","22","0.4331839399406286","0.4331839399406286","0.4331839399406286","22","22","22","0.43159137783546786","0.43159137783546786","0.43159137783546786","22","22","22","0.36391934945058846","0.36391934945058846","0.36391934945058846","22","22","22"
"1150","1.551796297072149","1.551796297072149","1.551796297072149","23","23","23","0.44098098502588357","0.44098098502588357","0.44098098502588357","23","23","23","0.4639650460388092","0.4639650460388092","0.4639650460388092","23","23","23","0.3513938306991828","0.3513938306991828","0.3513938306991828","23","23","23"
"1200","1.672912654407125","1.672912654407125","1.672912654407125","24","24","24","0.44471267148582355","0.44471267148582355","0.44471267148582355","24","24","24","0.4652713725407856","0.4652713725407856","0.4652713725407856","24","24","24","0.3409824821849429","0.3409824821849429","0.3409824821849429","24","24","24"
"1250","1.8703996981350672","1.8703996981350672","1.8703996981350672","25","25","25","0.4221703610338535","0.4221703610338535","0.4221703610338535","25","25","25","0.47235931584430024","0.47235931584430024","0.47235931584430024","25","25","25","0.34175138490726326","0.34175138490726326","0.34175138490726326","25","25","25"
"1300","1.8987253211504358","1.8987253211504358","1.8987253211504358","26","26","26","0.4327641543914032","0.4327641543914032","0.4327641543914032","26","26","26","0.42565235293164844","0.42565235293164844","0.42565235293164844","26","26","26","0.34245571823405757","0.34245571823405757","0.34245571823405757","26","26","26"
"1350","2.6224820120696175","2.6224820120696175","2.6224820120696175","27","27","27","0.41093903186662384","0.41093903186662384","0.41093903186662384","27","27","27","0.4308908783366313","0.4308908783366313","0.4308908783366313","27","27","27","0.36025535558145433","0.36025535558145433","0.36025535558145433","27","27","27"
"1400","1.9770265088125436","1.9770265088125436","1.9770265088125436","28","28","28","0.4041385554080632","0.4041385554080632","0.4041385554080632","28","28","28","0.4303036833480263","0.4303036833480263","0.4303036833480263","28","28","28","0.3333085413333318","0.3333085413333318","0.3333085413333318","28","28","28"
"1450","2.198095006865553","2.198095006865553","2.198095006865553","29","29","29","0.40103714026142356","0.40103714026142356","0.40103714026142356","29","29","29","0.4063352314622115","0.4063352314622115","0.4063352314622115","29","29","29","0.33328396415527173","0.33328396415527173","0.33328396415527173","29","29","29"
"1500","1.8633104569209609","1.8633104569209609","1.8633104569209609","30","30","30","0.38631661124265837","0.38631661124265837","0.38631661124265837","30","30","30","0.42640857269039745","0.42640857269039745","0.42640857269039745","30","30","30","0.31972752767813356","0.31972752767813356","0.31972752767813356","30","30","30"
"1550","2.263068925398974","2.263068925398974","2.263068925398974","31","31","31","0.38357003876154794","0.38357003876154794","0.38357003876154794","31","31","31","0.40245997485993507","0.40245997485993507","0.40245997485993507","31","31","31","0.32694916236902016","0.32694916236902016","0.32694916236902016","31","31","31"
"1600","2.0414160458317","2.0414160458317","2.0414160458317","32","32","32","0.37301633833020714","0.37301633833020714","0.37301633833020714","32","32","32","0.3944681990696939","0.3944681990696939","0.3944681990696939","32","32","32","0.316951447507806","0.316951447507806","0.316951447507806","32","32","32"
"1650","2.1517902400953957","2.1517902400953957","2.1517902400953957","33","33","33","0.37204048629557046","0.37204048629557046","0.37204048629557046","33","33","33","0.3952335275536099","0.3952335275536099","0.3952335275536099","33","33","33","0.3140921981136548","0.3140921981136548","0.3140921981136548","33","33","33"
"1700","1.9589027390557974","1.9589027390557974","1.9589027390557974","34","34","34","0.3698282523499858","0.3698282523499858","0.3698282523499858","34","34","34","0.41136915323035816","0.41136915323035816","0.41136915323035816","34","34","34","0.31772057073388493","0.31772057073388493","0.31772057073388493","34","34","34"
"1750","2.3527525392724824","2.3527525392724824","2.3527525392724824","35","35","35","0.3567984418103365","0.3567984418103365","0.3567984418103365","35","35","35","0.3760260583908108","0.3760260583908108","0.3760260583908108","35","35","35","0.3057599253016475","0.3057599253016475","0.3057599253016475","35","35","35"
