"iter","env2_sgd_2500-3000 - EMA/KL_Div","env2_sgd_2500-3000 - EMA/KL_Div__MIN","env2_sgd_2500-3000 - EMA/KL_Div__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/KL_Div","env2_lion_shock_2500-3000 - EMA/KL_Div__MIN","env2_lion_shock_2500-3000 - EMA/KL_Div__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/KL_Div","env2_muon_shock_2500-3000 - EMA/KL_Div__MIN","env2_muon_shock_2500-3000 - EMA/KL_Div__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/KL_Div","env2_adamw_shock_2500-3000 - EMA/KL_Div__MIN","env2_adamw_shock_2500-3000 - EMA/KL_Div__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"0","0.0608712158476313","0.0608712158476313","0.0608712158476313","0","0","0","0.0608712158476313","0.0608712158476313","0.0608712158476313","0","0","0","0.0608712158476313","0.0608712158476313","0.0608712158476313","0","0","0","0.0608712158476313","0.0608712158476313","0.0608712158476313","0","0","0"
"50","0.0015485302340131676","0.0015485302340131676","0.0015485302340131676","1","1","1","0.0040136059851588485","0.0040136059851588485","0.0040136059851588485","1","1","1","0.003264224159520534","0.003264224159520534","0.003264224159520534","1","1","1","0.022016406737257212","0.022016406737257212","0.022016406737257212","1","1","1"
"100","0.0009608154127008194","0.0009608154127008194","0.0009608154127008194","2","2","2","0.0014407006534066147","0.0014407006534066147","0.0014407006534066147","2","2","2","0.0021716873086689925","0.0021716873086689925","0.0021716873086689925","2","2","2","0.017190451410733776","0.017190451410733776","0.017190451410733776","2","2","2"
"150","0.0009432191029647027","0.0009432191029647027","0.0009432191029647027","3","3","3","0.0011436882821599579","0.0011436882821599579","0.0011436882821599579","3","3","3","0.002001731704918313","0.002001731704918313","0.002001731704918313","3","3","3","0.016342682018046933","0.016342682018046933","0.016342682018046933","3","3","3"
"200","0.0008259180973606642","0.0008259180973606642","0.0008259180973606642","4","4","4","0.0007286397612852867","0.0007286397612852867","0.0007286397612852867","4","4","4","0.002838972022384478","0.002838972022384478","0.002838972022384478","4","4","4","0.015508383691781317","0.015508383691781317","0.015508383691781317","4","4","4"
"250","0.0009458319613544886","0.0009458319613544886","0.0009458319613544886","5","5","5","0.0008548887423477724","0.0008548887423477724","0.0008548887423477724","5","5","5","0.0020317460144766934","0.0020317460144766934","0.0020317460144766934","5","5","5","0.013569261008635557","0.013569261008635557","0.013569261008635557","5","5","5"
"300","0.0007872772101310639","0.0007872772101310639","0.0007872772101310639","6","6","6","0.0013431658848802382","0.0013431658848802382","0.0013431658848802382","6","6","6","0.0018891960303358763","0.0018891960303358763","0.0018891960303358763","6","6","6","0.01375062940839472","0.01375062940839472","0.01375062940839472","6","6","6"
"350","0.001001062115511663","0.001001062115511663","0.001001062115511663","7","7","7","0.0012158986897503718","0.0012158986897503718","0.0012158986897503718","7","7","7","0.0018938233873969845","0.0018938233873969845","0.0018938233873969845","7","7","7","0.013298905047513257","0.013298905047513257","0.013298905047513257","7","7","7"
"400","0.0009428854037249096","0.0009428854037249096","0.0009428854037249096","8","8","8","0.0013030907629747145","0.0013030907629747145","0.0013030907629747145","8","8","8","0.001724171842104152","0.001724171842104152","0.001724171842104152","8","8","8","0.013226957432752344","0.013226957432752344","0.013226957432752344","8","8","8"
"450","0.0009210134346054774","0.0009210134346054774","0.0009210134346054774","9","9","9","0.001097970727453046","0.001097970727453046","0.001097970727453046","9","9","9","0.0016708203251524518","0.0016708203251524518","0.0016708203251524518","9","9","9","0.012488964436927026","0.012488964436927026","0.012488964436927026","9","9","9"
