"iter","env2_sgd_2500-3000 - train/loss_instant","env2_sgd_2500-3000 - train/loss_instant__MIN","env2_sgd_2500-3000 - train/loss_instant__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/loss_instant","env2_lion_shock_2500-3000 - train/loss_instant__MIN","env2_lion_shock_2500-3000 - train/loss_instant__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/loss_instant","env2_muon_shock_2500-3000 - train/loss_instant__MIN","env2_muon_shock_2500-3000 - train/loss_instant__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/loss_instant","env2_adamw_shock_2500-3000 - train/loss_instant__MIN","env2_adamw_shock_2500-3000 - train/loss_instant__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"0","11.374917030334473","11.374917030334473","11.374917030334473","0","0","0","11.374917030334473","11.374917030334473","11.374917030334473","0","0","0","11.374917030334473","11.374917030334473","11.374917030334473","0","0","0","11.374917030334473","11.374917030334473","11.374917030334473","0","0","0"
"50","8.33672046661377","8.33672046661377","8.33672046661377","1","1","1","7.277801513671875","7.277801513671875","7.277801513671875","1","1","1","8.078729629516602","8.078729629516602","8.078729629516602","1","1","1","7.113734245300293","7.113734245300293","7.113734245300293","1","1","1"
"100","7.674256324768066","7.674256324768066","7.674256324768066","2","2","2","6.595251560211182","6.595251560211182","6.595251560211182","2","2","2","7.199663162231445","7.199663162231445","7.199663162231445","2","2","2","6.3907790184021","6.3907790184021","6.3907790184021","2","2","2"
"150","7.7828850746154785","7.7828850746154785","7.7828850746154785","3","3","3","6.532230377197266","6.532230377197266","6.532230377197266","3","3","3","7.052146911621094","7.052146911621094","7.052146911621094","3","3","3","6.3445563316345215","6.3445563316345215","6.3445563316345215","3","3","3"
"200","7.487674713134766","7.487674713134766","7.487674713134766","4","4","4","6.276689529418945","6.276689529418945","6.276689529418945","4","4","4","6.587763786315918","6.587763786315918","6.587763786315918","4","4","4","6.077879905700684","6.077879905700684","6.077879905700684","4","4","4"
"250","7.357059478759766","7.357059478759766","7.357059478759766","5","5","5","6.1691179275512695","6.1691179275512695","6.1691179275512695","5","5","5","6.35265588760376","6.35265588760376","6.35265588760376","5","5","5","5.9542059898376465","5.9542059898376465","5.9542059898376465","5","5","5"
"300","7.486833572387695","7.486833572387695","7.486833572387695","6","6","6","6.142899036407471","6.142899036407471","6.142899036407471","6","6","6","6.175821304321289","6.175821304321289","6.175821304321289","6","6","6","5.871466636657715","5.871466636657715","5.871466636657715","6","6","6"
"350","7.15530252456665","7.15530252456665","7.15530252456665","7","7","7","5.814976692199707","5.814976692199707","5.814976692199707","7","7","7","5.749737739562988","5.749737739562988","5.749737739562988","7","7","7","5.5082292556762695","5.5082292556762695","5.5082292556762695","7","7","7"
"400","7.233216762542725","7.233216762542725","7.233216762542725","8","8","8","5.855705261230469","5.855705261230469","5.855705261230469","8","8","8","5.748814582824707","5.748814582824707","5.748814582824707","8","8","8","5.565483093261719","5.565483093261719","5.565483093261719","8","8","8"
"450","7.20014762878418","7.20014762878418","7.20014762878418","9","9","9","5.620883941650391","5.620883941650391","5.620883941650391","9","9","9","5.467186450958252","5.467186450958252","5.467186450958252","9","9","9","5.216561794281006","5.216561794281006","5.216561794281006","9","9","9"
"500","7.151873588562012","7.151873588562012","7.151873588562012","10","10","10","5.577862739562988","5.577862739562988","5.577862739562988","10","10","10","5.3763346672058105","5.3763346672058105","5.3763346672058105","10","10","10","5.163939952850342","5.163939952850342","5.163939952850342","10","10","10"
"550","7.101394176483154","7.101394176483154","7.101394176483154","11","11","11","5.444117546081543","5.444117546081543","5.444117546081543","11","11","11","5.255067825317383","5.255067825317383","5.255067825317383","11","11","11","5.028656959533691","5.028656959533691","5.028656959533691","11","11","11"
"600","7.2017436027526855","7.2017436027526855","7.2017436027526855","12","12","12","5.4598188400268555","5.4598188400268555","5.4598188400268555","12","12","12","5.260623455047607","5.260623455047607","5.260623455047607","12","12","12","5.045127868652344","5.045127868652344","5.045127868652344","12","12","12"
"650","6.8319993019104","6.8319993019104","6.8319993019104","13","13","13","5.063568115234375","5.063568115234375","5.063568115234375","13","13","13","4.814553737640381","4.814553737640381","4.814553737640381","13","13","13","4.663977146148682","4.663977146148682","4.663977146148682","13","13","13"
