"iter","env2_sgd_2500-3000 - train/aux_loss","env2_sgd_2500-3000 - train/aux_loss__MIN","env2_sgd_2500-3000 - train/aux_loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/aux_loss","env2_lion_shock_2500-3000 - train/aux_loss__MIN","env2_lion_shock_2500-3000 - train/aux_loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/aux_loss","env2_muon_shock_2500-3000 - train/aux_loss__MIN","env2_muon_shock_2500-3000 - train/aux_loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/aux_loss","env2_adamw_shock_2500-3000 - train/aux_loss__MIN","env2_adamw_shock_2500-3000 - train/aux_loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"0","15.668203353881836","15.668203353881836","15.668203353881836","0","0","0","15.668203353881836","15.668203353881836","15.668203353881836","0","0","0","15.668203353881836","15.668203353881836","15.668203353881836","0","0","0","15.668203353881836","15.668203353881836","15.668203353881836","0","0","0"
"50","13.163276433944702","13.163276433944702","13.163276433944702","1","1","1","14.36764669418335","14.36764669418335","14.36764669418335","1","1","1","13.27098822593689","13.27098822593689","13.27098822593689","1","1","1","16.477156162261963","16.477156162261963","16.477156162261963","1","1","1"
"100","12.622658252716064","12.622658252716064","12.622658252716064","2","2","2","12.652428150177002","12.652428150177002","12.652428150177002","2","2","2","12.768333911895752","12.768333911895752","12.768333911895752","2","2","2","14.799825191497803","14.799825191497803","14.799825191497803","2","2","2"
"150","12.566285133361816","12.566285133361816","12.566285133361816","3","3","3","12.487150430679321","12.487150430679321","12.487150430679321","3","3","3","12.671831607818604","12.671831607818604","12.671831607818604","3","3","3","14.451554536819458","14.451554536819458","14.451554536819458","3","3","3"
"200","12.681516170501709","12.681516170501709","12.681516170501709","4","4","4","12.224114418029785","12.224114418029785","12.224114418029785","4","4","4","12.83777904510498","12.83777904510498","12.83777904510498","4","4","4","14.225521087646484","14.225521087646484","14.225521087646484","4","4","4"
"250","12.672594785690308","12.672594785690308","12.672594785690308","5","5","5","12.238735914230347","12.238735914230347","12.238735914230347","5","5","5","12.48412299156189","12.48412299156189","12.48412299156189","5","5","5","13.905786991119385","13.905786991119385","13.905786991119385","5","5","5"
"300","12.662462711334229","12.662462711334229","12.662462711334229","6","6","6","12.295221328735352","12.295221328735352","12.295221328735352","6","6","6","12.40936279296875","12.40936279296875","12.40936279296875","6","6","6","13.920938491821289","13.920938491821289","13.920938491821289","6","6","6"
"350","12.811821699142456","12.811821699142456","12.811821699142456","7","7","7","12.235607862472534","12.235607862472534","12.235607862472534","7","7","7","12.384312868118286","12.384312868118286","12.384312868118286","7","7","7","13.858753681182861","13.858753681182861","13.858753681182861","7","7","7"
"400","12.579550981521606","12.579550981521606","12.579550981521606","8","8","8","12.18347954750061","12.18347954750061","12.18347954750061","8","8","8","12.289538621902466","12.289538621902466","12.289538621902466","8","8","8","13.879500389099121","13.879500389099121","13.879500389099121","8","8","8"
"450","12.566941976547241","12.566941976547241","12.566941976547241","9","9","9","12.15784215927124","12.15784215927124","12.15784215927124","9","9","9","12.352048397064209","12.352048397064209","12.352048397064209","9","9","9","13.799751043319702","13.799751043319702","13.799751043319702","9","9","9"
