"iter","env2_sgd_2500-3000 - train/loss","env2_sgd_2500-3000 - train/loss__MIN","env2_sgd_2500-3000 - train/loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/loss","env2_lion_shock_2500-3000 - train/loss__MIN","env2_lion_shock_2500-3000 - train/loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/loss","env2_muon_shock_2500-3000 - train/loss__MIN","env2_muon_shock_2500-3000 - train/loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/loss","env2_adamw_shock_2500-3000 - train/loss__MIN","env2_adamw_shock_2500-3000 - train/loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"0","11.374763488769531","11.374763488769531","11.374763488769531","0","0","0","11.374763488769531","11.374763488769531","11.374763488769531","0","0","0","11.374763488769531","11.374763488769531","11.374763488769531","0","0","0","11.374763488769531","11.374763488769531","11.374763488769531","0","0","0"
"500","7.110968112945557","7.110968112945557","7.110968112945557","10","10","10","5.540794372558594","5.540794372558594","5.540794372558594","10","10","10","5.342374801635742","5.342374801635742","5.342374801635742","10","10","10","5.134538173675537","5.134538173675537","5.134538173675537","10","10","10"
"1000","6.756402015686035","6.756402015686035","6.756402015686035","20","20","20","4.60408353805542","4.60408353805542","4.60408353805542","20","20","20","4.420289516448975","4.420289516448975","4.420289516448975","20","20","20","4.255626201629639","4.255626201629639","4.255626201629639","20","20","20"
"1500","6.595328330993652","6.595328330993652","6.595328330993652","30","30","30","4.109013557434082","4.109013557434082","4.109013557434082","30","30","30","4.135977268218994","4.135977268218994","4.135977268218994","30","30","30","3.979682445526123","3.979682445526123","3.979682445526123","30","30","30"
"2000","6.510794639587402","6.510794639587402","6.510794639587402","40","40","40","3.895449161529541","3.895449161529541","3.895449161529541","40","40","40","4.008364677429199","4.008364677429199","4.008364677429199","40","40","40","3.8513717651367188","3.8513717651367188","3.8513717651367188","40","40","40"
"2500","6.384281158447266","6.384281158447266","6.384281158447266","59","59","59","3.729555130004883","3.729555130004883","3.729555130004883","59","59","59","3.871621608734131","3.871621608734131","3.871621608734131","59","59","59","3.7114596366882324","3.7114596366882324","3.7114596366882324","59","59","59"
"3000","7.0172319412231445","7.0172319412231445","7.0172319412231445","159","159","159","7.149814605712891","7.149814605712891","7.149814605712891","159","159","159","6.6379523277282715","6.6379523277282715","6.6379523277282715","159","159","159","7.0910186767578125","7.0910186767578125","7.0910186767578125","159","159","159"
"3500","6.2822585105896","6.2822585105896","6.2822585105896","205","205","205","3.71863055229187","3.71863055229187","3.71863055229187","205","205","205","3.81292986869812","3.81292986869812","3.81292986869812","205","205","205","3.663651943206787","3.663651943206787","3.663651943206787","205","205","205"
"4000","6.2209343910217285","6.2209343910217285","6.2209343910217285","215","215","215","3.638577699661255","3.638577699661255","3.638577699661255","215","215","215","3.7723870277404785","3.7723870277404785","3.7723870277404785","215","215","215","3.625545024871826","3.625545024871826","3.625545024871826","215","215","215"
"4500","6.162686824798584","6.162686824798584","6.162686824798584","225","225","225","","","","","","","","","","","","","","","","","",""
"5000","6.181082248687744","6.181082248687744","6.181082248687744","235","235","235","","","","","","","","","","","","","","","","","",""
