"iter","env2_sgd_2500-3000 - EMA/Loss","env2_sgd_2500-3000 - EMA/Loss__MIN","env2_sgd_2500-3000 - EMA/Loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - EMA/Loss","env2_lion_shock_2500-3000 - EMA/Loss__MIN","env2_lion_shock_2500-3000 - EMA/Loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - EMA/Loss","env2_muon_shock_2500-3000 - EMA/Loss__MIN","env2_muon_shock_2500-3000 - EMA/Loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - EMA/Loss","env2_adamw_shock_2500-3000 - EMA/Loss__MIN","env2_adamw_shock_2500-3000 - EMA/Loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"0","11.374917030334473","11.374917030334473","11.374917030334473","0","0","0","11.374917030334473","11.374917030334473","11.374917030334473","0","0","0","11.374917030334473","11.374917030334473","11.374917030334473","0","0","0","11.374917030334473","11.374917030334473","11.374917030334473","0","0","0"
"50","1.3432975041456925","1.3432975041456925","1.3432975041456925","1","1","1","1.1815074305539763","1.1815074305539763","1.1815074305539763","1","1","1","1.3007875886319575","1.3007875886319575","1.3007875886319575","1","1","1","1.1546382511993496","1.1546382511993496","1.1546382511993496","1","1","1"
"100","1.1940153047939135","1.1940153047939135","1.1940153047939135","2","2","2","1.0283664476855368","1.0283664476855368","1.0283664476855368","2","2","2","1.124977122845929","1.124977122845929","1.124977122845929","2","2","2","0.9969378204851989","0.9969378204851989","0.9969378204851989","2","2","2"
"150","1.1915472715238447","1.1915472715238447","1.1915472715238447","3","3","3","1.002794763220114","1.002794763220114","1.002794763220114","3","3","3","1.0835546510535825","1.0835546510535825","1.0835546510535825","3","3","3","0.9743815264250941","0.9743815264250941","0.9743815264250941","3","3","3"
"200","1.1505943482548653","1.1505943482548653","1.1505943482548653","4","4","4","0.962803994699232","0.962803994699232","0.962803994699232","4","4","4","1.0132723923053009","1.0132723923053009","1.0132723923053009","4","4","4","0.932914030616977","0.932914030616977","0.932914030616977","4","4","4"
"250","1.134460817738054","1.134460817738054","1.134460817738054","5","5","5","0.9499619281243765","0.9499619281243765","0.9499619281243765","5","5","5","0.9785087862842443","0.9785087862842443","0.9785087862842443","5","5","5","0.9162635848875388","0.9162635848875388","0.9162635848875388","5","5","5"
"300","1.1415572145211268","1.1415572145211268","1.1415572145211268","6","6","6","0.9374685275285072","0.9374685275285072","0.9374685275285072","6","6","6","0.9443908344142418","0.9443908344142418","0.9443908344142418","6","6","6","0.8985444104916697","0.8985444104916697","0.8985444104916697","6","6","6"
"350","1.103887995967874","1.103887995967874","1.103887995967874","7","7","7","0.8956485268114011","0.8956485268114011","0.8956485268114011","7","7","7","0.8875353803500823","0.8875353803500823","0.8875353803500823","7","7","7","0.8489292484485534","0.8489292484485534","0.8489292484485534","7","7","7"
"400","1.115278001417153","1.115278001417153","1.115278001417153","8","8","8","0.8951859884645323","0.8951859884645323","0.8951859884645323","8","8","8","0.8789402208730072","0.8789402208730072","0.8789402208730072","8","8","8","0.8486766384546707","0.8486766384546707","0.8486766384546707","8","8","8"
"450","1.1061620023554795","1.1061620023554795","1.1061620023554795","9","9","9","0.8698913831722633","0.8698913831722633","0.8698913831722633","9","9","9","0.8466414852901373","0.8466414852901373","0.8466414852901373","9","9","9","0.8089156261217787","0.8089156261217787","0.8089156261217787","9","9","9"
