"iter","env2_sgd_2500-3000 - train/z_loss","env2_sgd_2500-3000 - train/z_loss__MIN","env2_sgd_2500-3000 - train/z_loss__MAX","env2_sgd_2500-3000 - _step","env2_sgd_2500-3000 - _step__MIN","env2_sgd_2500-3000 - _step__MAX","env2_lion_shock_2500-3000 - train/z_loss","env2_lion_shock_2500-3000 - train/z_loss__MIN","env2_lion_shock_2500-3000 - train/z_loss__MAX","env2_lion_shock_2500-3000 - _step","env2_lion_shock_2500-3000 - _step__MIN","env2_lion_shock_2500-3000 - _step__MAX","env2_muon_shock_2500-3000 - train/z_loss","env2_muon_shock_2500-3000 - train/z_loss__MIN","env2_muon_shock_2500-3000 - train/z_loss__MAX","env2_muon_shock_2500-3000 - _step","env2_muon_shock_2500-3000 - _step__MIN","env2_muon_shock_2500-3000 - _step__MAX","env2_adamw_shock_2500-3000 - train/z_loss","env2_adamw_shock_2500-3000 - train/z_loss__MIN","env2_adamw_shock_2500-3000 - train/z_loss__MAX","env2_adamw_shock_2500-3000 - _step","env2_adamw_shock_2500-3000 - _step__MIN","env2_adamw_shock_2500-3000 - _step__MAX"
"0","76.05676078796387","76.05676078796387","76.05676078796387","0","0","0","76.05676078796387","76.05676078796387","76.05676078796387","0","0","0","76.05676078796387","76.05676078796387","76.05676078796387","0","0","0","76.05676078796387","76.05676078796387","76.05676078796387","0","0","0"
"50","6.898845672607422","6.898845672607422","6.898845672607422","1","1","1","4.450940370559692","4.450940370559692","4.450940370559692","1","1","1","4.183669090270996","4.183669090270996","4.183669090270996","1","1","1","2.722204625606537","2.722204625606537","2.722204625606537","1","1","1"
"100","3.470855712890625","3.470855712890625","3.470855712890625","2","2","2","2.877090036869049","2.877090036869049","2.877090036869049","2","2","2","1.7341384589672089","1.7341384589672089","1.7341384589672089","2","2","2","1.7500642538070679","1.7500642538070679","1.7500642538070679","2","2","2"
"150","2.8529521822929382","2.8529521822929382","2.8529521822929382","3","3","3","1.4082386791706085","1.4082386791706085","1.4082386791706085","3","3","3","1.59584578871727","1.59584578871727","1.59584578871727","3","3","3","1.170666664838791","1.170666664838791","1.170666664838791","3","3","3"
"200","1.9228785932064056","1.9228785932064056","1.9228785932064056","4","4","4","1.801472544670105","1.801472544670105","1.801472544670105","4","4","4","1.2933980524539948","1.2933980524539948","1.2933980524539948","4","4","4","1.2508462369441986","1.2508462369441986","1.2508462369441986","4","4","4"
"250","1.4414911270141602","1.4414911270141602","1.4414911270141602","5","5","5","1.5313531756401062","1.5313531756401062","1.5313531756401062","5","5","5","1.5459312200546265","1.5459312200546265","1.5459312200546265","5","5","5","1.220421701669693","1.220421701669693","1.220421701669693","5","5","5"
"300","1.4486230611801147","1.4486230611801147","1.4486230611801147","6","6","6","1.6057977080345154","1.6057977080345154","1.6057977080345154","6","6","6","1.6123835146427155","1.6123835146427155","1.6123835146427155","6","6","6","1.3061605989933014","1.3061605989933014","1.3061605989933014","6","6","6"
"350","1.5339806377887726","1.5339806377887726","1.5339806377887726","7","7","7","1.9176874458789825","1.9176874458789825","1.9176874458789825","7","7","7","1.6380151212215424","1.6380151212215424","1.6380151212215424","7","7","7","1.2617957293987274","1.2617957293987274","1.2617957293987274","7","7","7"
"400","1.309810757637024","1.309810757637024","1.309810757637024","8","8","8","1.7858003973960876","1.7858003973960876","1.7858003973960876","8","8","8","2.0253046452999115","2.0253046452999115","2.0253046452999115","8","8","8","1.2982945442199707","1.2982945442199707","1.2982945442199707","8","8","8"
"450","1.1817605793476105","1.1817605793476105","1.1817605793476105","9","9","9","1.8114252090454102","1.8114252090454102","1.8114252090454102","9","9","9","1.847618043422699","1.847618043422699","1.847618043422699","9","9","9","1.4427668154239655","1.4427668154239655","1.4427668154239655","9","9","9"
