"iter","env2_lion_1500-1800 - EMA/CV","env2_lion_1500-1800 - EMA/CV__MIN","env2_lion_1500-1800 - EMA/CV__MAX","env2_lion_1500-1800 - _step","env2_lion_1500-1800 - _step__MIN","env2_lion_1500-1800 - _step__MAX","env2_muon_1500-1800 - EMA/CV","env2_muon_1500-1800 - EMA/CV__MIN","env2_muon_1500-1800 - EMA/CV__MAX","env2_muon_1500-1800 - _step","env2_muon_1500-1800 - _step__MIN","env2_muon_1500-1800 - _step__MAX","env2_adamw_shock_1500-1800 - EMA/CV","env2_adamw_shock_1500-1800 - EMA/CV__MIN","env2_adamw_shock_1500-1800 - EMA/CV__MAX","env2_adamw_shock_1500-1800 - _step","env2_adamw_shock_1500-1800 - _step__MIN","env2_adamw_shock_1500-1800 - _step__MAX"
"0","0.9556167721748352","0.9556167721748352","0.9556167721748352","0","0","0","0.9556167721748352","0.9556167721748352","0.9556167721748352","0","0","0","0.9556167721748352","0.9556167721748352","0.9556167721748352","0","0","0"
"50","0.6495165416097849","0.6495165416097849","0.6495165416097849","1","1","1","0.5794575378347182","0.5794575378347182","0.5794575378347182","1","1","1","0.9137982753842337","0.9137982753842337","0.9137982753842337","1","1","1"
"100","0.5052429041728259","0.5052429041728259","0.5052429041728259","2","2","2","0.466362667341341","0.466362667341341","0.466362667341341","2","2","2","0.8948140868140576","0.8948140868140576","0.8948140868140576","2","2","2"
"150","0.4224761221121627","0.4224761221121627","0.4224761221121627","3","3","3","0.47357315198270966","0.47357315198270966","0.47357315198270966","3","3","3","0.740201556883754","0.740201556883754","0.740201556883754","3","3","3"
"200","0.3583060736585583","0.3583060736585583","0.3583060736585583","4","4","4","0.45231146715144643","0.45231146715144643","0.45231146715144643","4","4","4","0.7236955256847609","0.7236955256847609","0.7236955256847609","4","4","4"
"250","0.4198276315962926","0.4198276315962926","0.4198276315962926","5","5","5","0.43346722977492325","0.43346722977492325","0.43346722977492325","5","5","5","0.7034551240597546","0.7034551240597546","0.7034551240597546","5","5","5"
"300","0.3324718401711362","0.3324718401711362","0.3324718401711362","6","6","6","0.41768518031735025","0.41768518031735025","0.41768518031735025","6","6","6","0.7025181127975595","0.7025181127975595","0.7025181127975595","6","6","6"
"350","0.312889447898144","0.312889447898144","0.312889447898144","7","7","7","0.41654022969855636","0.41654022969855636","0.41654022969855636","7","7","7","0.6925342805506615","0.6925342805506615","0.6925342805506615","7","7","7"
"400","0.3080456779752689","0.3080456779752689","0.3080456779752689","8","8","8","0.37919538206663983","0.37919538206663983","0.37919538206663983","8","8","8","0.6725867076924213","0.6725867076924213","0.6725867076924213","8","8","8"
"450","0.29984618064777374","0.29984618064777374","0.29984618064777374","9","9","9","0.39790802587812596","0.39790802587812596","0.39790802587812596","9","9","9","0.659807844280546","0.659807844280546","0.659807844280546","9","9","9"
"500","0.294852729539175","0.294852729539175","0.294852729539175","10","10","10","0.3710470101119885","0.3710470101119885","0.3710470101119885","10","10","10","0.6390761313264159","0.6390761313264159","0.6390761313264159","10","10","10"
"550","0.2870685079891748","0.2870685079891748","0.2870685079891748","11","11","11","0.35540295391984283","0.35540295391984283","0.35540295391984283","11","11","11","0.639828569859377","0.639828569859377","0.639828569859377","11","11","11"
"600","0.28352782602123894","0.28352782602123894","0.28352782602123894","12","12","12","0.344453264731053","0.344453264731053","0.344453264731053","12","12","12","0.6255138946707076","0.6255138946707076","0.6255138946707076","12","12","12"
"650","0.25435970958564386","0.25435970958564386","0.25435970958564386","13","13","13","0.34738831636769935","0.34738831636769935","0.34738831636769935","13","13","13","0.6002704016617556","0.6002704016617556","0.6002704016617556","13","13","13"
"700","0.2447968395675497","0.2447968395675497","0.2447968395675497","14","14","14","0.33916362752450846","0.33916362752450846","0.33916362752450846","14","14","14","0.5942532738387962","0.5942532738387962","0.5942532738387962","14","14","14"
"750","0.24585948703144775","0.24585948703144775","0.24585948703144775","15","15","15","0.34441624351591343","0.34441624351591343","0.34441624351591343","15","15","15","0.588069848134427","0.588069848134427","0.588069848134427","15","15","15"
"800","0.2304696415103274","0.2304696415103274","0.2304696415103274","16","16","16","0.3354663851164526","0.3354663851164526","0.3354663851164526","16","16","16","0.5797024851565593","0.5797024851565593","0.5797024851565593","16","16","16"
"850","0.2255684001335877","0.2255684001335877","0.2255684001335877","17","17","17","0.3361530724557417","0.3361530724557417","0.3361530724557417","17","17","17","0.5790068552765315","0.5790068552765315","0.5790068552765315","17","17","17"
"900","0.22780430339235544","0.22780430339235544","0.22780430339235544","18","18","18","0.32964018135387796","0.32964018135387796","0.32964018135387796","18","18","18","0.5629722625800523","0.5629722625800523","0.5629722625800523","18","18","18"
"950","0.2295465345649666","0.2295465345649666","0.2295465345649666","19","19","19","0.33117803398129536","0.33117803398129536","0.33117803398129536","19","19","19","0.5483241958037635","0.5483241958037635","0.5483241958037635","19","19","19"
"1000","0.22389901847061416","0.22389901847061416","0.22389901847061416","20","20","20","0.3387811368310395","0.3387811368310395","0.3387811368310395","20","20","20","0.5052328594638411","0.5052328594638411","0.5052328594638411","20","20","20"
"1050","0.22138292633531922","0.22138292633531922","0.22138292633531922","21","21","21","0.3289859858640353","0.3289859858640353","0.3289859858640353","21","21","21","0.4912514846839468","0.4912514846839468","0.4912514846839468","21","21","21"
"1100","0.2104866300425976","0.2104866300425976","0.2104866300425976","22","22","22","0.33219970427863965","0.33219970427863965","0.33219970427863965","22","22","22","0.4705376769587648","0.4705376769587648","0.4705376769587648","22","22","22"
"1150","0.21297025912593967","0.21297025912593967","0.21297025912593967","23","23","23","0.33800011535374525","0.33800011535374525","0.33800011535374525","23","23","23","0.47177609959413735","0.47177609959413735","0.47177609959413735","23","23","23"
"1200","0.2116666028796946","0.2116666028796946","0.2116666028796946","24","24","24","0.31577321358095","0.31577321358095","0.31577321358095","24","24","24","0.4601572825713768","0.4601572825713768","0.4601572825713768","24","24","24"
