"iter","env2_lion_1500-1800 - EMA/dropped_tokens","env2_lion_1500-1800 - EMA/dropped_tokens__MIN","env2_lion_1500-1800 - EMA/dropped_tokens__MAX","env2_lion_1500-1800 - _step","env2_lion_1500-1800 - _step__MIN","env2_lion_1500-1800 - _step__MAX","env2_muon_1500-1800 - EMA/dropped_tokens","env2_muon_1500-1800 - EMA/dropped_tokens__MIN","env2_muon_1500-1800 - EMA/dropped_tokens__MAX","env2_muon_1500-1800 - _step","env2_muon_1500-1800 - _step__MIN","env2_muon_1500-1800 - _step__MAX","env2_adamw_shock_1500-1800 - EMA/dropped_tokens","env2_adamw_shock_1500-1800 - EMA/dropped_tokens__MIN","env2_adamw_shock_1500-1800 - EMA/dropped_tokens__MAX","env2_adamw_shock_1500-1800 - _step","env2_adamw_shock_1500-1800 - _step__MIN","env2_adamw_shock_1500-1800 - _step__MAX"
"0","25220","25220","25220","0","0","0","25220","25220","25220","0","0","0","25220","25220","25220","0","0","0"
"50","1338.3782107286136","1338.3782107286136","1338.3782107286136","1","1","1","736.7782107286134","736.7782107286134","736.7782107286134","1","1","1","3002.4782107286132","3002.4782107286132","3002.4782107286132","1","1","1"
"100","212.7977004404706","212.7977004404706","212.7977004404706","2","2","2","342.69718927574684","342.69718927574684","342.69718927574684","2","2","2","1584.2740977629721","1584.2740977629721","1584.2740977629721","2","2","2"
"150","118.79671151270483","118.79671151270483","118.79671151270483","3","3","3","368.36618427770765","368.36618427770765","368.36618427770765","3","3","3","1307.1649925666502","1307.1649925666502","1307.1649925666502","3","3","3"
"200","198.81225154650537","198.81225154650537","198.81225154650537","4","4","4","181.89847650774556","181.89847650774556","181.89847650774556","4","4","4","806.9368345305668","806.9368345305668","806.9368345305668","4","4","4"
"250","104.32463365293188","104.32463365293188","104.32463365293188","5","5","5","229.73746385847494","229.73746385847494","229.73746385847494","5","5","5","724.4587710516771","724.4587710516771","724.4587710516771","5","5","5"
"300","133.83766571043324","133.83766571043324","133.83766571043324","6","6","6","173.38401524542644","173.38401524542644","173.38401524542644","6","6","6","1042.333697652972","1042.333697652972","1042.333697652972","6","6","6"
"350","7.98976924334403","7.98976924334403","7.98976924334403","7","7","7","130.19358223911752","130.19358223911752","130.19358223911752","7","7","7","760.8719535687181","760.8719535687181","760.8719535687181","7","7","7"
"400","0.04117747463855526","0.04117747463855526","0.04117747463855526","8","8","8","111.77098845629617","111.77098845629617","111.77098845629617","8","8","8","791.5213630102477","791.5213630102477","791.5213630102477","8","8","8"
"450","6.200212219447892","6.200212219447892","6.200212219447892","9","9","9","151.07604254920372","151.07604254920372","151.07604254920372","9","9","9","617.2793231767465","617.2793231767465","617.2793231767465","9","9","9"
"500","15.331954500016714","15.331954500016714","15.331954500016714","10","10","10","112.17861196251013","112.17861196251013","112.17861196251013","10","10","10","619.7813188717797","619.7813188717797","619.7813188717797","10","10","10"
"550","0.9790174469819463","0.9790174469819463","0.9790174469819463","11","11","11","70.97814334912397","70.97814334912397","70.97814334912397","11","11","11","569.0942135951615","569.0942135951615","569.0942135951615","11","11","11"
"600","24.50504563584579","24.50504563584579","24.50504563584579","12","12","12","140.66580539545433","140.66580539545433","140.66580539545433","12","12","12","727.7329836486562","727.7329836486562","727.7329836486562","12","12","12"
"650","0.12629349665227016","0.12629349665227016","0.12629349665227016","13","13","13","49.32495994036481","49.32495994036481","49.32495994036481","13","13","13","426.1505722086776","426.1505722086776","426.1505722086776","13","13","13"
"700","0.0006508882918922363","0.0006508882918922363","0.0006508882918922363","14","14","14","29.35420975564271","29.35420975564271","29.35420975564271","14","14","14","371.5962842536344","371.5962842536344","371.5962842536344","14","14","14"
"750","2.0000033545319416","2.0000033545319416","2.0000033545319416","15","15","15","49.95128499846911","49.95128499846911","49.95128499846911","15","15","15","362.7151237169187","362.7151237169187","362.7151237169187","15","15","15"
"800","50.510307567703144","50.510307567703144","50.510307567703144","16","16","16","6.657437694198892","6.657437694198892","6.657437694198892","16","16","16","358.16935221193233","358.16935221193233","358.16935221193233","16","16","16"
"850","10.460318770856544","10.460318770856544","10.460318770856544","17","17","17","55.03431093733264","55.03431093733264","55.03431093733264","17","17","17","398.34592432745177","398.34592432745177","398.34592432745177","17","17","17"
"900","223.15391013154192","223.15391013154192","223.15391013154192","18","18","18","120.88363446726078","120.88363446726078","120.88363446726078","18","18","18","363.7529853487359","363.7529853487359","363.7529853487359","18","18","18"
"950","6.550085089452482","6.550085089452482","6.550085089452482","19","19","19","40.92300707828812","40.92300707828812","40.92300707828812","19","19","19","243.674701117479","243.674701117479","243.674701117479","19","19","19"
"1000","19.833757666139856","19.833757666139856","19.833757666139856","20","20","20","30.71090797928907","30.71090797928907","30.71090797928907","20","20","20","291.5558446332704","291.5558446332704","291.5558446332704","20","20","20"
"1050","0.10221872852774695","0.10221872852774695","0.10221872852774695","21","21","21","0.15827711613794956","0.15827711613794956","0.15827711613794956","21","21","21","238.10261328362026","238.10261328362026","238.10261328362026","21","21","21"
"1100","0.000526812348810088","0.000526812348810088","0.000526812348810088","22","22","22","43.60081572467704","43.60081572467704","43.60081572467704","22","22","22","99.12712734513926","99.12712734513926","99.12712734513926","22","22","22"
