"iter","env2_lion_1500-1800 - EMA/Grad_Norm","env2_lion_1500-1800 - EMA/Grad_Norm__MIN","env2_lion_1500-1800 - EMA/Grad_Norm__MAX","env2_lion_1500-1800 - _step","env2_lion_1500-1800 - _step__MIN","env2_lion_1500-1800 - _step__MAX","env2_muon_1500-1800 - EMA/Grad_Norm","env2_muon_1500-1800 - EMA/Grad_Norm__MIN","env2_muon_1500-1800 - EMA/Grad_Norm__MAX","env2_muon_1500-1800 - _step","env2_muon_1500-1800 - _step__MIN","env2_muon_1500-1800 - _step__MAX","env2_adamw_shock_1500-1800 - EMA/Grad_Norm","env2_adamw_shock_1500-1800 - EMA/Grad_Norm__MIN","env2_adamw_shock_1500-1800 - EMA/Grad_Norm__MAX","env2_adamw_shock_1500-1800 - _step","env2_adamw_shock_1500-1800 - _step__MIN","env2_adamw_shock_1500-1800 - _step__MAX"
"0","16.1890811920166","16.1890811920166","16.1890811920166","0","0","0","16.18907356262207","16.18907356262207","16.18907356262207","0","0","0","16.189197540283203","16.189197540283203","16.189197540283203","0","0","0"
"50","1.0121042208235738","1.0121042208235738","1.0121042208235738","1","1","1","0.7621973716676174","0.7621973716676174","0.7621973716676174","1","1","1","0.36511338379138614","0.36511338379138614","0.36511338379138614","1","1","1"
"100","0.5940409359191292","0.5940409359191292","0.5940409359191292","2","2","2","0.4500746830586423","0.4500746830586423","0.4500746830586423","2","2","2","0.34084932061687306","0.34084932061687306","0.34084932061687306","2","2","2"
"150","0.499679113182151","0.499679113182151","0.499679113182151","3","3","3","0.37907849261692683","0.37907849261692683","0.37907849261692683","3","3","3","0.36885526338128405","0.36885526338128405","0.36885526338128405","3","3","3"
"200","0.4564717350260527","0.4564717350260527","0.4564717350260527","4","4","4","0.4341693530826865","0.4341693530826865","0.4341693530826865","4","4","4","0.3829395362290967","0.3829395362290967","0.3829395362290967","4","4","4"
"250","0.41031452656388323","0.41031452656388323","0.41031452656388323","5","5","5","0.41954781860564183","0.41954781860564183","0.41954781860564183","5","5","5","0.3752230029462431","0.3752230029462431","0.3752230029462431","5","5","5"
"300","0.37975239253931165","0.37975239253931165","0.37975239253931165","6","6","6","0.4342603323703553","0.4342603323703553","0.4342603323703553","6","6","6","0.3948247034478107","0.3948247034478107","0.3948247034478107","6","6","6"
"350","0.3653359531234442","0.3653359531234442","0.3653359531234442","7","7","7","0.4523342529771313","0.4523342529771313","0.4523342529771313","7","7","7","0.4116521375443179","0.4116521375443179","0.4116521375443179","7","7","7"
"400","0.36405492709833986","0.36405492709833986","0.36405492709833986","8","8","8","0.5115166829668948","0.5115166829668948","0.5115166829668948","8","8","8","0.4442943525457337","0.4442943525457337","0.4442943525457337","8","8","8"
"450","0.3955306064395358","0.3955306064395358","0.3955306064395358","9","9","9","0.525301930908179","0.525301930908179","0.525301930908179","9","9","9","0.3993893354877649","0.3993893354877649","0.3993893354877649","9","9","9"
